chronological_rank,release_date,date_confidence,evolution_id,name,name_zh,slug,category,status,url
15,2025-09-28,exact,19,Footwork Phenom,,footwork-phenom,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/19/footwork-phenom
16,2025-09-28,inferred,20,Pinged Pass,,pinged-pass,REWARDS,expired,https://www.futbin.com/26/evolutions/20/pinged-pass
17,2025-09-29,inferred,21,ST Advanced Forward+,,st-advanced-forward,REWARDS,expired,https://www.futbin.com/26/evolutions/21/st-advanced-forward
18,2025-09-29,inferred,22,Whipped Pass+,,whipped-pass,REWARDS,expired,https://www.futbin.com/26/evolutions/22/whipped-pass
19,2025-09-30,inferred,23,Cornerstones,,cornerstones,REWARDS,expired,https://www.futbin.com/26/evolutions/23/cornerstones
20,2025-09-30,exact,24,Iron Will,,iron-will,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/24/iron-will
21,2025-10-03,exact,25,The Eighth King of Rome,,the-eighth-king-of-rome,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/25/the-eighth-king-of-rome
22,2025-10-03,exact,26,CAM Upgrade,,cam-upgrade,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/26/cam-upgrade
23,2025-10-04,exact,27,Sprint Boost,,sprint-boost,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/27/sprint-boost
24,2025-10-04,exact,28,Cornerstones,,cornerstones,COSMETICS,expired,https://www.futbin.com/26/evolutions/28/cornerstones
25,2025-10-05,exact,29,Sideline Rise,,sideline-rise,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/29/sideline-rise
26,2025-10-07,exact,30,Reflex Deflector,,reflex-deflector,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/30/reflex-deflector
27,2025-10-10,exact,31,Backline Glow,,backline-glow,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/31/backline-glow
28,2025-10-10,exact,32,Ball Distributor,,ball-distributor,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/32/ball-distributor
29,2025-10-10,inferred,33,GK Boost,,gk-boost,REWARDS,expired,https://www.futbin.com/26/evolutions/33/gk-boost
30,2025-10-10,inferred,34,Shadow Striker++,,shadow-striker,REWARDS,expired,https://www.futbin.com/26/evolutions/34/shadow-striker
31,2025-10-10,inferred,35,Finesse Shot,,finesse-shot,REWARDS,expired,https://www.futbin.com/26/evolutions/35/finesse-shot
32,2025-10-10,inferred,36,Intercept,,intercept,REWARDS,expired,https://www.futbin.com/26/evolutions/36/intercept
33,2025-10-11,inferred,37,CDM Roles+,,cdm-roles,REWARDS,expired,https://www.futbin.com/26/evolutions/37/cdm-roles
34,2025-10-11,inferred,38,Gamechanger+,,gamechanger,REWARDS,expired,https://www.futbin.com/26/evolutions/38/gamechanger
35,2025-10-11,inferred,39,Inventive+,,inventive,REWARDS,expired,https://www.futbin.com/26/evolutions/39/inventive
36,2025-10-11,inferred,40,Aerial Fortress,,aerial-fortress,REWARDS,expired,https://www.futbin.com/26/evolutions/40/aerial-fortress
37,2025-10-11,exact,41,Striker Debut,,striker-debut,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/41/striker-debut
38,2025-10-12,inferred,42,Silver Warm-Up,,silver-warm-up,REWARDS,expired,https://www.futbin.com/26/evolutions/42/silver-warm-up
39,2025-10-12,exact,43,Midfield Spark,,midfield-spark,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/43/midfield-spark
40,2025-10-14,exact,44,Fullback Force,,fullback-force,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/44/fullback-force
41,2025-10-14,inferred,45,CM Box-to-Box++,,cm-box-to-box,REWARDS,active,https://www.futbin.com/26/evolutions/45/cm-box-to-box
42,2025-10-15,inferred,46,Tiki Taka+,,tiki-taka,REWARDS,expired,https://www.futbin.com/26/evolutions/46/tiki-taka
43,2025-10-15,exact,47,Right-Wing Dynamo,,right-wing-dynamo,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/47/right-wing-dynamo
44,2025-10-17,exact,48,Born to Shine,,born-to-shine,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/48/born-to-shine
45,2025-10-17,exact,49,Fullback Force II,,fullback-force-ii,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/49/fullback-force-ii
46,2025-10-18,exact,50,Left-Wing Dynamo,,left-wing-dynamo,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/50/left-wing-dynamo
47,2025-10-18,exact,51,Ratings Reload,,ratings-reload,COSMETICS,expired,https://www.futbin.com/26/evolutions/51/ratings-reload
48,2025-10-19,exact,52,Keeper of the Goal,,keeper-of-the-goal,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/52/keeper-of-the-goal
49,2025-10-21,exact,53,Ice Veins,,ice-veins,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/53/ice-veins
50,2025-10-22,exact,54,Iron Lungs,,iron-lungs,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/54/iron-lungs
51,2025-10-24,exact,55,The Big Fella,,the-big-fella,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/55/the-big-fella
52,2025-10-25,inferred,56,Inverted Instinct,,inverted-instinct,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/56/inverted-instinct
53,2025-10-25,exact,57,Phantom Fullback,,phantom-fullback,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/57/phantom-fullback
54,2025-10-26,exact,58,Rise from the Grave,,rise-from-the-grave,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/58/rise-from-the-grave
55,2025-10-28,exact,59,Ghostly Guardian,,ghostly-guardian,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/59/ghostly-guardian
56,2025-10-28,inferred,60,Jockey+,,jockey,REWARDS,expired,https://www.futbin.com/26/evolutions/60/jockey
57,2025-10-29,inferred,61,RM Inside Forward++,,rm-inside-forward,REWARDS,expired,https://www.futbin.com/26/evolutions/61/rm-inside-forward
58,2025-10-29,exact,62,Spooky Striker,,spooky-striker,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/62/spooky-striker
59,2025-10-30,exact,63,Phantom Dash,,phantom-dash,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/63/phantom-dash
60,2025-10-31,exact,64,EVO Flash: Fast like Adama,,evo-flash-fast-like-adama,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/64/evo-flash-fast-like-adama
61,2025-11-01,inferred,65,The Undead Lion,,the-undead-lion,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/65/the-undead-lion
62,2025-11-01,exact,66,The Portuguese Backline Titan,,the-portuguese-backline-titan,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/66/the-portuguese-backline-titan
63,2025-11-01,exact,67,World Tour,,world-tour,COSMETICS,expired,https://www.futbin.com/26/evolutions/67/world-tour
64,2025-11-02,inferred,68,Star in Motion,,star-in-motion,REWARDS,active,https://www.futbin.com/26/evolutions/68/star-in-motion
65,2025-11-02,exact,69,Curse of the Left,,curse-of-the-left,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/69/curse-of-the-left
66,2025-11-04,exact,70,The ScreaMOR,,the-screamor,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/70/the-screamor
67,2025-11-04,inferred,71,Power Shot+,,power-shot,REWARDS,expired,https://www.futbin.com/26/evolutions/71/power-shot
68,2025-11-04,inferred,72,CDM Box Crasher++,,cdm-box-crasher,REWARDS,expired,https://www.futbin.com/26/evolutions/72/cdm-box-crasher
69,2025-11-04,inferred,73,CM Roles+ - Season 2 Lvl 8,,cm-roles-season-2-lvl-8,REWARDS,expired,https://www.futbin.com/26/evolutions/73/cm-roles-season-2-lvl-8
70,2025-11-04,inferred,74,Trickster - Season 2 (P) Lvl 10,,trickster-season-2-p-lvl-10,REWARDS,expired,https://www.futbin.com/26/evolutions/74/trickster-season-2-p-lvl-10
71,2025-11-04,inferred,75,Relentless - Season 2 Lvl 20,,relentless-season-2-lvl-20,REWARDS,expired,https://www.futbin.com/26/evolutions/75/relentless-season-2-lvl-20
72,2025-11-04,inferred,76,Jockey - Season 2 Lvl 20,,jockey-season-2-lvl-20,REWARDS,expired,https://www.futbin.com/26/evolutions/76/jockey-season-2-lvl-20
73,2025-11-04,inferred,77,CB Roles+ - Season 2 (P) Lvl 20,,cb-roles-season-2-p-lvl-20,REWARDS,expired,https://www.futbin.com/26/evolutions/77/cb-roles-season-2-p-lvl-20
74,2025-11-05,inferred,78,LW Roles+ - Season 2 (P) Lvl 23,,lw-roles-season-2-p-lvl-23,REWARDS,expired,https://www.futbin.com/26/evolutions/78/lw-roles-season-2-p-lvl-23
75,2025-11-05,inferred,79,RW Roles+ - Season 2 (P) Lvl 23,,rw-roles-season-2-p-lvl-23,REWARDS,expired,https://www.futbin.com/26/evolutions/79/rw-roles-season-2-p-lvl-23
76,2025-11-05,inferred,80,RB Roles+ - Season 2 (B/P) Lvl 26,,rb-roles-season-2-bp-lvl-26,REWARDS,expired,https://www.futbin.com/26/evolutions/80/rb-roles-season-2-bp-lvl-26
77,2025-11-05,inferred,81,LB Roles+ - Season 2 (B/P) Lvl 26,,lb-roles-season-2-bp-lvl-26,REWARDS,expired,https://www.futbin.com/26/evolutions/81/lb-roles-season-2-bp-lvl-26
78,2025-11-05,inferred,82,Sweeper Keeper++ - Season 2 (P) Lvl 33,,sweeper-keeper-season-2-p-lvl-33,REWARDS,expired,https://www.futbin.com/26/evolutions/82/sweeper-keeper-season-2-p-lvl-33
79,2025-11-05,inferred,83,Intercept+ - Season 2 Lvl 35,,intercept-season-2-lvl-35,REWARDS,expired,https://www.futbin.com/26/evolutions/83/intercept-season-2-lvl-35
80,2025-11-05,inferred,84,Finesse Shot+ - Season 2 (P) Lvl 35,,finesse-shot-season-2-p-lvl-35,REWARDS,expired,https://www.futbin.com/26/evolutions/84/finesse-shot-season-2-p-lvl-35
81,2025-11-05,exact,85,Spell of the Dribbler,,spell-of-the-dribbler,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/85/spell-of-the-dribbler
82,2025-11-06,exact,86,Saved by the Bell,,saved-by-the-bell,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/86/saved-by-the-bell
83,2025-11-07,exact,87,El Capitán,,el-capitan,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/87/el-capitan
84,2025-11-08,inferred,88,Dynamic Distributor,,dynamic-distributor,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/88/dynamic-distributor
85,2025-11-08,exact,89,Defensive Shift,,defensive-shift,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/89/defensive-shift
86,2025-11-08,exact,90,Cornerstones,,cornerstones,COSMETICS,expired,https://www.futbin.com/26/evolutions/90/cornerstones
87,2025-11-08,inferred,91,Incisive Pass,,incisive-pass,REWARDS,expired,https://www.futbin.com/26/evolutions/91/incisive-pass
88,2025-11-09,inferred,92,CDM Holding++,,cdm-holding,REWARDS,expired,https://www.futbin.com/26/evolutions/92/cdm-holding
89,2025-11-09,inferred,93,The Big Fella,,the-big-fella,REWARDS,expired,https://www.futbin.com/26/evolutions/93/the-big-fella
90,2025-11-09,exact,94,Wing Wizards,,wing-wizards,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/94/wing-wizards
91,2025-11-11,exact,95,Ironclad Instincts,,ironclad-instincts,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/95/ironclad-instincts
92,2025-11-12,exact,96,Footwork Mastery,,footwork-mastery,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/96/footwork-mastery
93,2025-11-12,inferred,97,Defender++,,defender,REWARDS,expired,https://www.futbin.com/26/evolutions/97/defender
94,2025-11-13,inferred,98,Long Ball Pass+,,long-ball-pass,REWARDS,expired,https://www.futbin.com/26/evolutions/98/long-ball-pass
95,2025-11-13,inferred,99,Poacher++,,poacher,REWARDS,expired,https://www.futbin.com/26/evolutions/99/poacher
96,2025-11-13,inferred,100,Press Proven,,press-proven,REWARDS,expired,https://www.futbin.com/26/evolutions/100/press-proven
97,2025-11-14,inferred,101,Cornerstones,,cornerstones,REWARDS,expired,https://www.futbin.com/26/evolutions/101/cornerstones
98,2025-11-14,exact,102,Silver Armour,,silver-armour,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/102/silver-armour
99,2025-11-14,exact,103,I'll Protect You,,ill-protect-you,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/103/ill-protect-you
100,2025-11-14,inferred,104,Festival of Football: Captains,,festival-of-football-captains,REWARDS,expired,https://www.futbin.com/26/evolutions/104/festival-of-football-captains
101,2025-11-15,inferred,105,Own the Ball,,own-the-ball,REWARDS,expired,https://www.futbin.com/26/evolutions/105/own-the-ball
102,2025-11-15,exact,106,Dual Threat,,dual-threat,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/106/dual-threat
103,2025-11-15,exact,107,FOF Captains,,fof-captains,COSMETICS,expired,https://www.futbin.com/26/evolutions/107/fof-captains
104,2025-11-16,exact,108,Protect the Wings,,protect-the-wings,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/108/protect-the-wings
105,2025-11-17,inferred,109,Sideline Flyer,,sideline-flyer,REWARDS,expired,https://www.futbin.com/26/evolutions/109/sideline-flyer
106,2025-11-17,inferred,110,Iron Guard,,iron-guard,REWARDS,expired,https://www.futbin.com/26/evolutions/110/iron-guard
107,2025-11-18,exact,111,Captain's Grit,,captains-grit,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/111/captains-grit
108,2025-11-19,exact,112,PlayStyles Trifecta,,playstyles-trifecta,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/112/playstyles-trifecta
109,2025-11-20,inferred,113,Flying Postman,,flying-postman,REWARDS,expired,https://www.futbin.com/26/evolutions/113/flying-postman
110,2025-11-20,exact,114,Welcome to UT EVO,,welcome-to-ut-evo,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/114/welcome-to-ut-evo
111,2025-11-21,exact,115,Estrella de Montcada,,estrella-de-montcada,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/115/estrella-de-montcada
112,2025-11-22,inferred,116,Tighten Up,,tighten-up,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/116/tighten-up
113,2025-11-22,exact,117,Competitive Catalyst,,competitive-catalyst,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/117/competitive-catalyst
114,2025-11-23,exact,118,How many tricks left?,,how-many-tricks-left,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/118/how-many-tricks-left
115,2025-11-23,inferred,119,Finesse Shot,,finesse-shot,REWARDS,expired,https://www.futbin.com/26/evolutions/119/finesse-shot
116,2025-11-24,inferred,120,RW Inside Forward++,,rw-inside-forward,REWARDS,expired,https://www.futbin.com/26/evolutions/120/rw-inside-forward
117,2025-11-24,inferred,121,World Tour,,world-tour,REWARDS,expired,https://www.futbin.com/26/evolutions/121/world-tour
118,2025-11-24,inferred,122,Cornerstones,,cornerstones,REWARDS,expired,https://www.futbin.com/26/evolutions/122/cornerstones
119,2025-11-24,inferred,123,Positional Excellence,,positional-excellence,REWARDS,expired,https://www.futbin.com/26/evolutions/123/positional-excellence
120,2025-11-25,inferred,124,Bruiser+,,bruiser,REWARDS,expired,https://www.futbin.com/26/evolutions/124/bruiser
121,2025-11-25,inferred,125,CM Deep-Lying Playmaker++,,cm-deep-lying-playmaker,REWARDS,expired,https://www.futbin.com/26/evolutions/125/cm-deep-lying-playmaker
122,2025-11-25,exact,126,No Panna,,no-panna,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/126/no-panna
123,2025-11-26,exact,127,The Perfect Curl,,the-perfect-curl,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/127/the-perfect-curl
124,2025-11-26,inferred,128,Block+,,block,REWARDS,expired,https://www.futbin.com/26/evolutions/128/block
125,2025-11-26,inferred,129,Ping Pro,,ping-pro,REWARDS,expired,https://www.futbin.com/26/evolutions/129/ping-pro
126,2025-11-26,inferred,130,Overlapping Dynamo,,overlapping-dynamo,REWARDS,expired,https://www.futbin.com/26/evolutions/130/overlapping-dynamo
127,2025-11-26,inferred,131,Clinical Pivot,,clinical-pivot,REWARDS,expired,https://www.futbin.com/26/evolutions/131/clinical-pivot
128,2025-11-26,inferred,132,Inverted Finisher,,inverted-finisher,REWARDS,expired,https://www.futbin.com/26/evolutions/132/inverted-finisher
129,2025-11-26,inferred,133,CAM Classic 10++,,cam-classic-10,REWARDS,expired,https://www.futbin.com/26/evolutions/133/cam-classic-10
130,2025-11-26,inferred,134,Touchline Maestro,,touchline-maestro,REWARDS,expired,https://www.futbin.com/26/evolutions/134/touchline-maestro
131,2025-11-26,inferred,135,Il Catenaccio - Season 3 Lvl 7,,il-catenaccio-season-3-lvl-7,REWARDS,expired,https://www.futbin.com/26/evolutions/135/il-catenaccio-season-3-lvl-7
132,2025-11-26,inferred,136,Intercept - Season 3 Lvl 7,,intercept-season-3-lvl-7,REWARDS,expired,https://www.futbin.com/26/evolutions/136/intercept-season-3-lvl-7
133,2025-11-26,inferred,137,Il Divin Codino - Season 3 (P) Lvl 9,,il-divin-codino-season-3-p-lvl-9,REWARDS,expired,https://www.futbin.com/26/evolutions/137/il-divin-codino-season-3-p-lvl-9
134,2025-11-26,inferred,138,First Touch - Season 3 (P) Lvl 9,,first-touch-season-3-p-lvl-9,REWARDS,expired,https://www.futbin.com/26/evolutions/138/first-touch-season-3-p-lvl-9
135,2025-11-27,inferred,140,Enforcer - Season 3 Lvl 20,,enforcer-season-3-lvl-20,REWARDS,expired,https://www.futbin.com/26/evolutions/140/enforcer-season-3-lvl-20
136,2025-11-27,inferred,141,Aerial Fortress - Season 3 Lvl 20,,aerial-fortress-season-3-lvl-20,REWARDS,expired,https://www.futbin.com/26/evolutions/141/aerial-fortress-season-3-lvl-20
137,2025-11-27,inferred,142,CAM Roles Upgrade - Season 3 (P) Lvl 20,,cam-roles-upgrade-season-3-p-lvl-20,REWARDS,expired,https://www.futbin.com/26/evolutions/142/cam-roles-upgrade-season-3-p-lvl-20
138,2025-11-27,inferred,143,Incisive Pass - Season 3 (P) Lvl 23,,incisive-pass-season-3-p-lvl-23,REWARDS,expired,https://www.futbin.com/26/evolutions/143/incisive-pass-season-3-p-lvl-23
139,2025-11-27,inferred,144,Trickster - Season 3 (P) Lvl 23,,trickster-season-3-p-lvl-23,REWARDS,expired,https://www.futbin.com/26/evolutions/144/trickster-season-3-p-lvl-23
140,2025-11-27,inferred,145,LB Roles Upgrade - Season 3 Lvl 26,,lb-roles-upgrade-season-3-lvl-26,REWARDS,expired,https://www.futbin.com/26/evolutions/145/lb-roles-upgrade-season-3-lvl-26
141,2025-11-27,inferred,146,Relentless - Season 3 Lvl 26,,relentless-season-3-lvl-26,REWARDS,expired,https://www.futbin.com/26/evolutions/146/relentless-season-3-lvl-26
142,2025-11-27,inferred,147,CDM Roles Upgrade - Season 3 (P) Lvl 26,,cdm-roles-upgrade-season-3-p-lvl-26,REWARDS,expired,https://www.futbin.com/26/evolutions/147/cdm-roles-upgrade-season-3-p-lvl-26
143,2025-11-27,inferred,148,CM Roles Upgrade - Season 3 (P) Lvl 26,,cm-roles-upgrade-season-3-p-lvl-26,REWARDS,expired,https://www.futbin.com/26/evolutions/148/cm-roles-upgrade-season-3-p-lvl-26
144,2025-11-27,inferred,149,Jockey+ - Season 3 lvl 35,,jockey-season-3-lvl-35,REWARDS,expired,https://www.futbin.com/26/evolutions/149/jockey-season-3-lvl-35
145,2025-11-27,inferred,150,Low Driven Shot+ - Season 3 (P) lvl 35,,low-driven-shot-season-3-p-lvl-35,REWARDS,expired,https://www.futbin.com/26/evolutions/150/low-driven-shot-season-3-p-lvl-35
146,2025-11-27,inferred,151,Perfectionist - Season 3 (P) lvl 33,,perfectionist-season-3-p-lvl-33,REWARDS,expired,https://www.futbin.com/26/evolutions/151/perfectionist-season-3-p-lvl-33
147,2025-11-27,exact,152,Speed Surge,,speed-surge,FLASH,expired,https://www.futbin.com/26/evolutions/152/speed-surge
148,2025-11-27,exact,153,Hit the Weights,,hit-the-weights,FLASH,expired,https://www.futbin.com/26/evolutions/153/hit-the-weights
149,2025-11-27,exact,154,Locked In,,locked-in,FLASH,expired,https://www.futbin.com/26/evolutions/154/locked-in
150,2025-11-28,exact,155,Target Practice,,target-practice,FLASH,expired,https://www.futbin.com/26/evolutions/155/target-practice
151,2025-11-28,exact,156,Ball Movement,,ball-movement,FLASH,expired,https://www.futbin.com/26/evolutions/156/ball-movement
152,2025-11-28,exact,157,Elite Control,,elite-control,FLASH,expired,https://www.futbin.com/26/evolutions/157/elite-control
153,2025-11-28,exact,158,Song of Touré,,song-of-toure,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/158/song-of-toure
154,2025-11-29,inferred,159,Intercept+,,intercept,REWARDS,expired,https://www.futbin.com/26/evolutions/159/intercept
155,2025-11-29,exact,160,WF + SM Upgrade,,wf--sm-upgrade,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/160/wf--sm-upgrade
156,2025-11-29,exact,161,Thunderstruck,,thunderstruck,COSMETICS,expired,https://www.futbin.com/26/evolutions/161/thunderstruck
157,2025-11-30,exact,162,Magician of the Right,,magician-of-the-right,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/162/magician-of-the-right
158,2025-12-01,exact,163,Between the Sticks,,between-the-sticks,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/163/between-the-sticks
159,2025-12-02,inferred,164,Bend it Like,,bend-it-like,REWARDS,expired,https://www.futbin.com/26/evolutions/164/bend-it-like
160,2025-12-03,exact,165,Airborne,,airborne,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/165/airborne
161,2025-12-05,exact,166,The Wizard,,the-wizard,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/166/the-wizard
162,2025-12-06,inferred,167,Tricks and Flicks,,tricks-and-flicks,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/167/tricks-and-flicks
163,2025-12-06,exact,168,Chance Creator,,chance-creator,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/168/chance-creator
164,2025-12-06,exact,169,Joga Bonito,,joga-bonito,COSMETICS,expired,https://www.futbin.com/26/evolutions/169/joga-bonito
165,2025-12-07,inferred,170,Skill Moves Master,,skill-moves-master,REWARDS,expired,https://www.futbin.com/26/evolutions/170/skill-moves-master
166,2025-12-07,exact,171,Silver Skiller,,silver-skiller,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/171/silver-skiller
167,2025-12-07,inferred,172,Brazil Silver Skiller,,brazil-silver-skiller,REWARDS,expired,https://www.futbin.com/26/evolutions/172/brazil-silver-skiller
168,2025-12-08,inferred,173,Shadow Striker++,,shadow-striker,REWARDS,expired,https://www.futbin.com/26/evolutions/173/shadow-striker
169,2025-12-08,inferred,174,Positional Excellence,,positional-excellence,REWARDS,expired,https://www.futbin.com/26/evolutions/174/positional-excellence
170,2025-12-09,inferred,175,First Touch+,,first-touch,REWARDS,expired,https://www.futbin.com/26/evolutions/175/first-touch
171,2025-12-09,exact,176,The Controller,,the-controller,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/176/the-controller
172,2025-12-10,exact,177,Keep Composed,,keep-composed,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/177/keep-composed
173,2025-12-11,exact,178,Shots Fired,,shots-fired,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/178/shots-fired
174,2025-12-12,exact,179,Wake Up,,wake-up,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/179/wake-up
175,2025-12-12,exact,180,The Little Magician,,the-little-magician,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/180/the-little-magician
176,2025-12-13,exact,181,Athlete Lab,,athlete-lab,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/181/athlete-lab
177,2025-12-13,exact,182,Cornerstones,,cornerstones,COSMETICS,expired,https://www.futbin.com/26/evolutions/182/cornerstones
178,2025-12-13,exact,183,FOF: Captains,,fof-captains,COSMETICS,expired,https://www.futbin.com/26/evolutions/183/fof-captains
179,2025-12-13,inferred,184,Brute Finisher,,brute-finisher,REWARDS,expired,https://www.futbin.com/26/evolutions/184/brute-finisher
180,2025-12-13,inferred,185,Pumping Iron,,pumping-iron,REWARDS,expired,https://www.futbin.com/26/evolutions/185/pumping-iron
181,2025-12-14,inferred,186,Fast Feet,,fast-feet,REWARDS,expired,https://www.futbin.com/26/evolutions/186/fast-feet
182,2025-12-14,inferred,187,"Work hard, Pass Hard",,work-hard-pass-hard,REWARDS,expired,https://www.futbin.com/26/evolutions/187/work-hard-pass-hard
183,2025-12-14,exact,188,Keep Good Kompany,,keep-good-kompany,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/188/keep-good-kompany
184,2025-12-15,inferred,189,Enforcer,,enforcer,REWARDS,expired,https://www.futbin.com/26/evolutions/189/enforcer
185,2025-12-15,inferred,190,Technical+,,technical,REWARDS,expired,https://www.futbin.com/26/evolutions/190/technical
186,2025-12-16,inferred,191,Advanced Forward++,,advanced-forward,REWARDS,expired,https://www.futbin.com/26/evolutions/191/advanced-forward
187,2025-12-17,inferred,192,Sticky Shoes,,sticky-shoes,REWARDS,expired,https://www.futbin.com/26/evolutions/192/sticky-shoes
188,2025-12-17,inferred,193,Package Delivery,,package-delivery,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/193/package-delivery
189,2025-12-18,exact,194,The Bandit,,the-bandit,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/194/the-bandit
