"name","slug","sourceGroups","forwardRank","midfieldRank","defenderRank","excludedFromGroups","fc27Url","fc26Url","matchedBy"
"Temwa Chawinga","temwa-chawinga","forward|midfield","13","14","","midfield","https://www.futbin.com/27/player/20/temwa-chawinga","https://www.futbin.com/26/player/1150/temwa-chawinga","forward-slug"
"Lionel Messi","lionel-messi","forward|midfield","14","15","","midfield","https://www.futbin.com/27/player/22/lionel-messi","https://www.futbin.com/26/player/254/lionel-messi","forward-slug"
"Khvicha Kvaratskhelia","khvicha-kvaratskhelia","forward|midfield","15","17","","midfield","https://www.futbin.com/27/player/49/khvicha-kvaratskhelia","https://www.futbin.com/26/player/215/khvicha-kvaratskhelia","forward-slug"
"Vinícius José de Oliveira Júnior","vinicius-jose-de-oliveira-junior","forward|midfield","16","19","","midfield","https://www.futbin.com/27/player/80/vinicius-jose-de-oliveira-junior","https://www.futbin.com/26/player/47/vinicius-jose-de-oliveira-junior","forward-slug"
"Klara Bühl","klara-buhl","forward|midfield","17","22","","midfield","https://www.futbin.com/27/player/29/klara-buhl","https://www.futbin.com/26/player/248/klara-buhl","forward-slug"
"Alessia Russo","alessia-russo","forward|midfield","18","23","","midfield","https://www.futbin.com/27/player/30/alessia-russo","https://www.futbin.com/26/player/122/alessia-russo","forward-slug"
"Sophia Wilson","sophia-wilson","forward|midfield","19","24","","midfield","https://www.futbin.com/27/player/38/sophia-wilson","https://www.futbin.com/26/player/74/sophia-wilson","forward-slug"
"Melchie Dumornay","melchie-dumornay","forward|midfield","20","25","","midfield","https://www.futbin.com/27/player/43/melchie-dumornay","https://www.futbin.com/26/player/257/melchie-dumornay","forward-slug"
"Barbra Banda","barbra-banda","forward|midfield","21","26","","midfield","https://www.futbin.com/27/player/48/barbra-banda","https://www.futbin.com/26/player/1138/barbra-banda","forward-slug"
"Luis Díaz","luis-diaz","forward|midfield","22","27","","midfield","https://www.futbin.com/27/player/74/luis-diaz","https://www.futbin.com/26/player/991/luis-diaz","forward-slug"
"Raphael Dias Belloli","raphael-dias-belloli","forward|midfield","23","32","","midfield","https://www.futbin.com/27/player/546/raphael-dias-belloli","https://www.futbin.com/26/player/83/raphael-dias-belloli","forward-slug"
"Débora C. de Oliveira","debora-c-de-oliveira","forward|midfield","24","33","","midfield","https://www.futbin.com/27/player/50/debora-c-de-oliveira","https://www.futbin.com/26/player/116/debora-c-de-oliveira","forward-slug"
"Kadidiatou Diani","kadidiatou-diani","forward|midfield","25","34","","midfield","https://www.futbin.com/27/player/52/kadidiatou-diani","https://www.futbin.com/26/player/132/kadidiatou-diani","forward-slug"
"Rose Lavelle","rose-lavelle","forward|midfield","26","35","","midfield","https://www.futbin.com/27/player/54/rose-lavelle","","unmatched"
"Vivianne Miedema","vivianne-miedema","forward|midfield","27","37","","midfield","https://www.futbin.com/27/player/60/vivianne-miedema","https://www.futbin.com/26/player/562/vivianne-miedema","forward-slug"
"Lauren Hemp","lauren-hemp","forward|midfield","28","39","","midfield","https://www.futbin.com/27/player/66/lauren-hemp","https://www.futbin.com/26/player/78/lauren-hemp","forward-slug"
"Pernille Harder","pernille-harder","forward|midfield","29","40","","midfield","https://www.futbin.com/27/player/73/pernille-harder","https://www.futbin.com/26/player/258/pernille-harder","forward-slug"
"Bukayo Saka","bukayo-saka","forward|midfield","30","41","","midfield","https://www.futbin.com/27/player/228/bukayo-saka","https://www.futbin.com/26/player/32/bukayo-saka","forward-slug"
"Jamal Musiala","jamal-musiala","forward|midfield","31","42","","midfield","https://www.futbin.com/27/player/346/jamal-musiala","https://www.futbin.com/26/player/46/jamal-musiala","forward-slug"
"Lautaro Martínez","lautaro-martinez","forward","32","","","","https://www.futbin.com/27/player/454/lautaro-martinez","https://www.futbin.com/26/player/60/lautaro-martinez","forward-slug"
"Salma Celeste Paralluelo Ayingono","salma-celeste-paralluelo-ayingono","forward|midfield","33","45","","midfield","https://www.futbin.com/27/player/621/salma-celeste-paralluelo-ayingono","https://www.futbin.com/26/player/874/salma-celeste-paralluelo-ayingono","forward-slug"
"Tabitha Chawinga","tabitha-chawinga","forward|midfield","34","46","","midfield","https://www.futbin.com/27/player/622/tabitha-chawinga","https://www.futbin.com/26/player/17311/tabitha-chawinga","forward-slug"
"Trinity Rodman","trinity-rodman","forward|midfield","35","47","","midfield","https://www.futbin.com/27/player/695/trinity-rodman","https://www.futbin.com/26/player/1134/trinity-rodman","forward-slug"
"Chloe Kelly","chloe-kelly","forward|midfield","36","51","","midfield","https://www.futbin.com/27/player/117/chloe-kelly","https://www.futbin.com/26/player/115/chloe-kelly","forward-slug"
"Alexander Isak","alexander-isak","forward","37","","","","https://www.futbin.com/27/player/238/alexander-isak","https://www.futbin.com/26/player/52/alexander-isak","forward-slug"
"Viktor Gyökeres","viktor-gyokeres","forward","38","","","","https://www.futbin.com/27/player/252/viktor-gyokeres","https://www.futbin.com/26/player/234/viktor-gyokeres","forward-slug"
"Rayan Cherki","rayan-cherki","forward|midfield","39","56","","midfield","https://www.futbin.com/27/player/256/rayan-cherki","","unmatched"
"Florian Wirtz","florian-wirtz","forward|midfield","40","57","","midfield","https://www.futbin.com/27/player/257/florian-wirtz","https://www.futbin.com/26/player/41/florian-wirtz","forward-slug"
"Julián Alvarez","julian-alvarez","forward|midfield","41","61","","midfield","https://www.futbin.com/27/player/548/julian-alvarez","https://www.futbin.com/26/player/226/julian-alvarez","forward-slug"
"Selma Bacha","selma-bacha","forward|midfield|defender","42","63","25","midfield|defender","https://www.futbin.com/27/player/623/selma-bacha","https://www.futbin.com/26/player/17305/selma-bacha","forward-slug"
"Marie Katoto","marie-katoto","forward|midfield","43","65","","midfield","https://www.futbin.com/27/player/625/marie-katoto","https://www.futbin.com/26/player/137/marie-katoto","forward-slug"
"Désiré Doué","desire-doue","forward|midfield","44","67","","midfield","https://www.futbin.com/27/player/653/desire-doue","https://www.futbin.com/26/player/1063/desire-doue","forward-slug"
"Guro Reiten","guro-reiten","forward|midfield|defender","45","68","26","midfield|defender","https://www.futbin.com/27/player/696/guro-reiten","https://www.futbin.com/26/player/90/guro-reiten","forward-slug"
"Lindsey Heaps","lindsey-heaps","forward|midfield","46","69","","midfield","https://www.futbin.com/27/player/740/lindsey-heaps","","unmatched"
"Cole Palmer","cole-palmer","forward|midfield","47","70","","midfield","https://www.futbin.com/27/player/103/cole-palmer","https://www.futbin.com/26/player/214/cole-palmer","forward-slug"
"Alyssa Thompson","alyssa-thompson","forward|midfield","48","71","","midfield","https://www.futbin.com/27/player/118/alyssa-thompson","","unmatched"
"Caitlin Foord","caitlin-foord","forward|midfield","49","72","","midfield","https://www.futbin.com/27/player/119/caitlin-foord","https://www.futbin.com/26/player/536/caitlin-foord","forward-slug"
"Lea Schüller","lea-schuller","forward|midfield","50","73","","midfield","https://www.futbin.com/27/player/124/lea-schuller","https://www.futbin.com/26/player/253/lea-schuller","forward-slug"
"Jess Park","jess-park","forward|midfield","51","74","","midfield","https://www.futbin.com/27/player/129/jess-park","","unmatched"
"Lauren James","lauren-james","forward|midfield","52","75","","midfield","https://www.futbin.com/27/player/144/lauren-james","https://www.futbin.com/26/player/559/lauren-james","forward-slug"
"Sandy Baltimore","sandy-baltimore","forward|midfield|defender","53","82","33","midfield|defender","https://www.futbin.com/27/player/165/sandy-baltimore","https://www.futbin.com/26/player/531/sandy-baltimore","forward-slug"
"Antoine Semenyo","antoine-semenyo","forward|midfield","54","84","","midfield","https://www.futbin.com/27/player/223/antoine-semenyo","","unmatched"
"Hugo Ekitiké","hugo-ekitike","forward|midfield","55","89","","midfield","https://www.futbin.com/27/player/299/hugo-ekitike","","unmatched"
"Serhou Guirassy","serhou-guirassy","forward","56","","","","https://www.futbin.com/27/player/308/serhou-guirassy","https://www.futbin.com/26/player/217/serhou-guirassy","forward-slug"
"Deniz Undav","deniz-undav","forward|midfield","57","91","","midfield","https://www.futbin.com/27/player/316/deniz-undav","","unmatched"
"Svenja Huth","svenja-huth","forward|midfield","58","93","","midfield","https://www.futbin.com/27/player/372/svenja-huth","","unmatched"
"Paulo Dybala","paulo-dybala","forward|midfield","59","98","","midfield","https://www.futbin.com/27/player/466/paulo-dybala","https://www.futbin.com/26/player/246/paulo-dybala","forward-slug"
"Marcus Thuram","marcus-thuram","forward","60","","","","https://www.futbin.com/27/player/467/marcus-thuram","https://www.futbin.com/26/player/17309/marcus-thuram","forward-slug"
"Linda Caicedo","linda-caicedo","forward|midfield","61","99","","midfield","https://www.futbin.com/27/player/517/linda-caicedo","https://www.futbin.com/26/player/864/linda-caicedo","forward-slug"
"Kerolin Nicoli Israel Ferraz","kerolin-nicoli-israel-ferraz","forward|midfield","62","100","","midfield","https://www.futbin.com/27/player/519/kerolin-nicoli-israel-ferraz","","unmatched"
"Ada Hegerberg","ada-hegerberg","forward","63","","","","https://www.futbin.com/27/player/626/ada-hegerberg","https://www.futbin.com/26/player/84/ada-hegerberg","forward-slug"
"Clara Mateo","clara-mateo","forward","64","","","","https://www.futbin.com/27/player/627/clara-mateo","https://www.futbin.com/26/player/17308/clara-mateo","forward-slug"
"Sam Kerr","sam-kerr","forward","65","","","","https://www.futbin.com/27/player/697/sam-kerr","https://www.futbin.com/26/player/235/sam-kerr","forward-slug"
"Mallory Swanson","mallory-swanson","forward","66","","","","https://www.futbin.com/27/player/699/mallory-swanson","https://www.futbin.com/26/player/92/mallory-swanson","forward-slug"
"Delphine Cascarino","delphine-cascarino","forward","67","","","","https://www.futbin.com/27/player/742/delphine-cascarino","https://www.futbin.com/26/player/1142/delphine-cascarino","forward-slug"
"Bradley Barcola","bradley-barcola","forward","68","","","","https://www.futbin.com/27/player/745/bradley-barcola","https://www.futbin.com/26/player/1154/bradley-barcola","forward-slug"
"Victor Osimhen","victor-osimhen","forward","69","","","","https://www.futbin.com/27/player/747/victor-osimhen","https://www.futbin.com/26/player/237/victor-osimhen","forward-slug"
"Beth Mead","beth-mead","forward","70","","","","https://www.futbin.com/27/player/140/beth-mead","https://www.futbin.com/26/player/93/beth-mead","forward-slug"
"Melvine Malard","melvine-malard","forward","71","","","","https://www.futbin.com/27/player/161/melvine-malard","","unmatched"
"Linda Dallmann","linda-dallmann","forward","72","","","","https://www.futbin.com/27/player/376/linda-dallmann","","unmatched"
"Laura Freigang","laura-freigang","forward","73","","","","https://www.futbin.com/27/player/386/laura-freigang","https://www.futbin.com/26/player/1045/laura-freigang","forward-slug"
"Morgan Rogers","morgan-rogers","forward","74","","","","https://www.futbin.com/27/player/406/morgan-rogers","","unmatched"
"Jérémy Doku","jeremy-doku","forward","75","","","","https://www.futbin.com/27/player/436/jeremy-doku","","unmatched"
"Phil Foden","phil-foden","forward","76","","","","https://www.futbin.com/27/player/437/phil-foden","https://www.futbin.com/26/player/405/phil-foden","forward-slug"
"Kenan Yıldız","kenan-yldz","forward","77","","","","https://www.futbin.com/27/player/469/kenan-yldz","","unmatched"
"Nicolás Paz Martínez","nicolas-paz-martinez","forward","78","","","","https://www.futbin.com/27/player/470/nicolas-paz-martinez","","unmatched"
"Victoria López Serrano Felix","victoria-lopez-serrano-felix","forward","79","","","","https://www.futbin.com/27/player/514/victoria-lopez-serrano-felix","","unmatched"
"Esmee Brugts","esmee-brugts","forward|defender","80","","52","defender","https://www.futbin.com/27/player/515/esmee-brugts","","unmatched"
"Athenea Del Castillo","athenea-del-castillo","forward","81","","","","https://www.futbin.com/27/player/516/athenea-del-castillo","","unmatched"
"Nicholas Williams Arthuer","nicholas-williams-arthuer","forward","82","","","","https://www.futbin.com/27/player/557/nicholas-williams-arthuer","https://www.futbin.com/26/player/256/nicholas-williams-arthuer","forward-slug"
"Rodrygo Silva de Goes","rodrygo-silva-de-goes","forward","83","","","","https://www.futbin.com/27/player/559/rodrygo-silva-de-goes","https://www.futbin.com/26/player/832/rodrygo-silva-de-goes","forward-slug"
"Mikel Oyarzabal Ugarte","mikel-oyarzabal-ugarte","forward","84","","","","https://www.futbin.com/27/player/560/mikel-oyarzabal-ugarte","","unmatched"
"C. Ronaldo dos Santos Aveiro","c-ronaldo-dos-santos-aveiro","forward","85","","","","https://www.futbin.com/27/player/565/c-ronaldo-dos-santos-aveiro","","unmatched"
"Sergej Milinković-Savić","sergej-milinkovic-savic","forward","86","","","","https://www.futbin.com/27/player/567/sergej-milinkovic-savic","","unmatched"
"Julián Quiñones","julian-quinones","forward","87","","","","https://www.futbin.com/27/player/568/julian-quinones","","unmatched"
"Yan Diomande","yan-diomande","forward","88","","","","https://www.futbin.com/27/player/614/yan-diomande","","unmatched"
"Jule Brand","jule-brand","forward","89","","","","https://www.futbin.com/27/player/631/jule-brand","","unmatched"
"Ferran Torres García","ferran-torres-garcia","forward","90","","","","https://www.futbin.com/27/player/654/ferran-torres-garcia","","unmatched"
"Bernardo Mota Carvalho e Silva","bernardo-mota-carvalho-e-silva","forward","91","","","","https://www.futbin.com/27/player/679/bernardo-mota-carvalho-e-silva","","unmatched"
"Marta Vieira da Silva","marta-vieira-da-silva","forward","92","","","","https://www.futbin.com/27/player/701/marta-vieira-da-silva","https://www.futbin.com/26/player/1146/marta-vieira-da-silva","forward-slug"
"Ashley Sanchez","ashley-sanchez","forward","93","","","","https://www.futbin.com/27/player/702/ashley-sanchez","","unmatched"
"Robert Lewandowski","robert-lewandowski","forward","94","","","","https://www.futbin.com/27/player/722/robert-lewandowski","https://www.futbin.com/26/player/63/robert-lewandowski","forward-slug"
"Antoine Griezmann","antoine-griezmann","forward","95","","","","https://www.futbin.com/27/player/723/antoine-griezmann","https://www.futbin.com/26/player/795/antoine-griezmann","forward-slug"
"Fridolina Rolfö","fridolina-rolfo","forward|defender","96","","61","defender","https://www.futbin.com/27/player/748/fridolina-rolfo","https://www.futbin.com/26/player/17314/fridolina-rolfo","forward-slug"
"Géraldine Reuteler","geraldine-reuteler","forward","97","","","","https://www.futbin.com/27/player/753/geraldine-reuteler","https://www.futbin.com/26/player/1062/geraldine-reuteler","forward-slug"
"Nicole Anyomi","nicole-anyomi","forward","98","","","","https://www.futbin.com/27/player/754/nicole-anyomi","","unmatched"
"Selina Cerci","selina-cerci","forward","99","","","","https://www.futbin.com/27/player/755/selina-cerci","","unmatched"
"Eberechi Eze","eberechi-eze","forward","100","","","","https://www.futbin.com/27/player/757/eberechi-eze","","unmatched"
"Aitana Bonmatí Conca","aitana-bonmati-conca","midfield","","2","","","https://www.futbin.com/27/player/6/aitana-bonmati-conca","https://www.futbin.com/26/player/111/aitana-bonmati-conca","midfield-slug"
"Rodrigo Hernández Cascante","rodrigo-hernandez-cascante","midfield","","3","","","https://www.futbin.com/27/player/13/rodrigo-hernandez-cascante","https://www.futbin.com/26/player/61/rodrigo-hernandez-cascante","midfield-slug"
"Vítor Machado Ferreira","vitor-machado-ferreira","midfield","","5","","","https://www.futbin.com/27/player/44/vitor-machado-ferreira","https://www.futbin.com/26/player/68/vitor-machado-ferreira","midfield-slug"
"Pedro González López","pedro-gonzalez-lopez","midfield","","7","","","https://www.futbin.com/27/player/69/pedro-gonzalez-lopez","https://www.futbin.com/26/player/94/pedro-gonzalez-lopez","midfield-slug"
"María Francesca Caldentey Oliver","maria-francesca-caldentey-oliver","midfield","","11","","","https://www.futbin.com/27/player/17/maria-francesca-caldentey-oliver","https://www.futbin.com/26/player/128/maria-francesca-caldentey-oliver","midfield-slug"
"Nuno Alexandre Tavares Mendes","nuno-alexandre-tavares-mendes","midfield|defender","","16","2","defender","https://www.futbin.com/27/player/39/nuno-alexandre-tavares-mendes","https://www.futbin.com/26/player/238/nuno-alexandre-tavares-mendes","midfield-slug"
"Bruno Miguel Borges Fernandes","bruno-miguel-borges-fernandes","midfield","","18","","","https://www.futbin.com/27/player/53/bruno-miguel-borges-fernandes","https://www.futbin.com/26/player/224/bruno-miguel-borges-fernandes","midfield-slug"
"Patricia Guijarro Gutiérrez","patricia-guijarro-gutierrez","midfield","","20","","","https://www.futbin.com/27/player/23/patricia-guijarro-gutierrez","https://www.futbin.com/26/player/133/patricia-guijarro-gutierrez","midfield-slug"
"Yui Hasegawa","yui-hasegawa","midfield","","21","","","https://www.futbin.com/27/player/24/yui-hasegawa","https://www.futbin.com/26/player/545/yui-hasegawa","midfield-slug"
"Joshua Kimmich","joshua-kimmich","midfield|defender","","28","5","defender","https://www.futbin.com/27/player/85/joshua-kimmich","https://www.futbin.com/26/player/86/joshua-kimmich","midfield-slug"
"Declan Rice","declan-rice","midfield","","29","","","https://www.futbin.com/27/player/91/declan-rice","https://www.futbin.com/26/player/220/declan-rice","midfield-slug"
"João Pedro Gonçalves Neves","joao-pedro-goncalves-neves","midfield","","30","","","https://www.futbin.com/27/player/97/joao-pedro-goncalves-neves","","unmatched"
"Achraf Hakimi","achraf-hakimi","midfield|defender","","31","8","defender","https://www.futbin.com/27/player/102/achraf-hakimi","https://www.futbin.com/26/player/91/achraf-hakimi","midfield-slug"
"Sakina Karchaoui","sakina-karchaoui","midfield|defender","","36","10","defender","https://www.futbin.com/27/player/59/sakina-karchaoui","https://www.futbin.com/26/player/104/sakina-karchaoui","midfield-slug"
"Ona Batlle Pascual","ona-batlle-pascual","midfield|defender","","38","11","defender","https://www.futbin.com/27/player/61/ona-batlle-pascual","https://www.futbin.com/26/player/250/ona-batlle-pascual","midfield-slug"
"Nicolò Barella","nicolo-barella","midfield","","43","","","https://www.futbin.com/27/player/456/nicolo-barella","https://www.futbin.com/26/player/236/nicolo-barella","midfield-slug"
"Federico Valverde","federico-valverde","midfield|defender","","44","15","defender","https://www.futbin.com/27/player/547/federico-valverde","https://www.futbin.com/26/player/56/federico-valverde","midfield-slug"
"Mohamed Salah","mohamed-salah","midfield","","48","","","https://www.futbin.com/27/player/738/mohamed-salah","https://www.futbin.com/26/player/31/mohamed-salah","midfield-slug"
"Georgia Stanway","georgia-stanway","midfield","","49","","","https://www.futbin.com/27/player/115/georgia-stanway","https://www.futbin.com/26/player/1028/georgia-stanway","midfield-slug"
"Katie McCabe","katie-mccabe","midfield|defender","","50","18","defender","https://www.futbin.com/27/player/116/katie-mccabe","https://www.futbin.com/26/player/232/katie-mccabe","midfield-slug"
"Dominik Szoboszlai","dominik-szoboszlai","midfield|defender","","52","19","defender","https://www.futbin.com/27/player/233/dominik-szoboszlai","","unmatched"
"Martin Ødegaard","martin-odegaard","midfield","","53","","","https://www.futbin.com/27/player/243/martin-odegaard","https://www.futbin.com/26/player/231/martin-odegaard","midfield-slug"
"Bruno Guimarães Moura","bruno-guimaraes-moura","midfield","","54","","","https://www.futbin.com/27/player/247/bruno-guimaraes-moura","https://www.futbin.com/26/player/247/bruno-guimaraes-moura","midfield-slug"
"Moisés Caicedo","moises-caicedo","midfield","","55","","","https://www.futbin.com/27/player/251/moises-caicedo","https://www.futbin.com/26/player/219/moises-caicedo","midfield-slug"
"Enzo Fernández","enzo-fernandez","midfield","","58","","","https://www.futbin.com/27/player/261/enzo-fernandez","","unmatched"
"Scott McTominay","scott-mctominay","midfield","","59","","","https://www.futbin.com/27/player/457/scott-mctominay","https://www.futbin.com/26/player/206/scott-mctominay","midfield-slug"
"Federico Dimarco","federico-dimarco","midfield|defender","","60","20","defender","https://www.futbin.com/27/player/458/federico-dimarco","https://www.futbin.com/26/player/17306/federico-dimarco","midfield-slug"
"Frenkie de Jong","frenkie-de-jong","midfield","","62","","","https://www.futbin.com/27/player/552/frenkie-de-jong","https://www.futbin.com/26/player/218/frenkie-de-jong","midfield-slug"
"Caroline Weir","caroline-weir","midfield","","64","","","https://www.futbin.com/27/player/624/caroline-weir","https://www.futbin.com/26/player/865/caroline-weir","midfield-slug"
"Fabián Ruiz Peña","fabian-ruiz-pena","midfield","","66","","","https://www.futbin.com/27/player/652/fabian-ruiz-pena","","unmatched"
"Kerstin Casparij","kerstin-casparij","midfield|defender","","76","28","defender","https://www.futbin.com/27/player/145/kerstin-casparij","","unmatched"
"Emily Fox","emily-fox","midfield|defender","","77","29","defender","https://www.futbin.com/27/player/149/emily-fox","","unmatched"
"Erin Cuthbert","erin-cuthbert","midfield","","78","","","https://www.futbin.com/27/player/150/erin-cuthbert","https://www.futbin.com/26/player/541/erin-cuthbert","midfield-slug"
"Alex Greenwood","alex-greenwood","midfield|defender","","79","30","defender","https://www.futbin.com/27/player/151/alex-greenwood","","unmatched"
"Ellie Carpenter","ellie-carpenter","midfield|defender","","80","31","defender","https://www.futbin.com/27/player/155/ellie-carpenter","","unmatched"
"Lucy Bronze","lucy-bronze","midfield|defender","","81","32","defender","https://www.futbin.com/27/player/156/lucy-bronze","https://www.futbin.com/26/player/126/lucy-bronze","midfield-slug"
"Keira Walsh","keira-walsh","midfield","","83","","","https://www.futbin.com/27/player/169/keira-walsh","https://www.futbin.com/26/player/570/keira-walsh","midfield-slug"
"Youri Tielemans","youri-tielemans","midfield","","85","","","https://www.futbin.com/27/player/232/youri-tielemans","https://www.futbin.com/26/player/309/youri-tielemans","midfield-slug"
"Sandro Tonali","sandro-tonali","midfield","","86","","","https://www.futbin.com/27/player/237/sandro-tonali","https://www.futbin.com/26/player/255/sandro-tonali","midfield-slug"
"Granit Xhaka","granit-xhaka","midfield","","87","","","https://www.futbin.com/27/player/242/granit-xhaka","https://www.futbin.com/26/player/362/granit-xhaka","midfield-slug"
"Ryan Gravenberch","ryan-gravenberch","midfield","","88","","","https://www.futbin.com/27/player/298/ryan-gravenberch","https://www.futbin.com/26/player/305/ryan-gravenberch","midfield-slug"
"Konrad Laimer","konrad-laimer","midfield|defender","","90","34","defender","https://www.futbin.com/27/player/312/konrad-laimer","","unmatched"
"Felix Nmecha","felix-nmecha","midfield","","92","","","https://www.futbin.com/27/player/324/felix-nmecha","","unmatched"
"Luka Modrić","luka-modric","midfield","","94","","","https://www.futbin.com/27/player/462/luka-modric","","unmatched"
"Kevin De Bruyne","kevin-de-bruyne","midfield","","95","","","https://www.futbin.com/27/player/463/kevin-de-bruyne","https://www.futbin.com/26/player/193/kevin-de-bruyne","midfield-slug"
"Hakan Çalhanoğlu","hakan-calhanoglu","midfield","","96","","","https://www.futbin.com/27/player/464/hakan-calhanoglu","https://www.futbin.com/26/player/252/hakan-calhanoglu","midfield-slug"
"Adrien Rabiot","adrien-rabiot","midfield","","97","","","https://www.futbin.com/27/player/465/adrien-rabiot","","unmatched"
"Willian Pacho","willian-pacho","defender","","","1","","https://www.futbin.com/27/player/25/willian-pacho","https://www.futbin.com/26/player/249/willian-pacho","defender-slug"
"Gabriel dos S. Magalhães","gabriel-dos-s-magalhaes","defender","","","3","","https://www.futbin.com/27/player/78/gabriel-dos-s-magalhaes","https://www.futbin.com/26/player/42/gabriel-dos-s-magalhaes","defender-slug"
"María Pilar León Cebrián","maria-pilar-leon-cebrian","defender","","","4","","https://www.futbin.com/27/player/21/maria-pilar-leon-cebrian","https://www.futbin.com/26/player/142/maria-pilar-leon-cebrian","defender-slug"
"William Saliba","william-saliba","defender","","","6","","https://www.futbin.com/27/player/92/william-saliba","https://www.futbin.com/26/player/225/william-saliba","defender-slug"
"Virgil van Dijk","virgil-van-dijk","defender","","","7","","https://www.futbin.com/27/player/96/virgil-van-dijk","https://www.futbin.com/26/player/62/virgil-van-dijk","defender-slug"
"Irene Paredes Hernández","irene-paredes-hernandez","defender","","","9","","https://www.futbin.com/27/player/51/irene-paredes-hernandez","https://www.futbin.com/26/player/110/irene-paredes-hernandez","defender-slug"
"Rúben Santos Gato Alves Dias","ruben-santos-gato-alves-dias","defender","","","12","","https://www.futbin.com/27/player/224/ruben-santos-gato-alves-dias","https://www.futbin.com/26/player/245/ruben-santos-gato-alves-dias","defender-slug"
"Dayot Upamecano","dayot-upamecano","defender","","","13","","https://www.futbin.com/27/player/320/dayot-upamecano","https://www.futbin.com/26/player/1008/dayot-upamecano","defender-slug"
"Jonathan Tah","jonathan-tah","defender","","","14","","https://www.futbin.com/27/player/337/jonathan-tah","https://www.futbin.com/26/player/227/jonathan-tah","defender-slug"
"Marcos Aoás Corrêa","marcos-aoas-correa","defender","","","16","","https://www.futbin.com/27/player/651/marcos-aoas-correa","https://www.futbin.com/26/player/221/marcos-aoas-correa","defender-slug"
"Nico Schlotterbeck","nico-schlotterbeck","defender","","","17","","https://www.futbin.com/27/player/739/nico-schlotterbeck","https://www.futbin.com/26/player/1003/nico-schlotterbeck","defender-slug"
"Gleison Bremer Silva Nascimento","gleison-bremer-silva-nascimento","defender","","","21","","https://www.futbin.com/27/player/459/gleison-bremer-silva-nascimento","https://www.futbin.com/26/player/174/gleison-bremer-silva-nascimento","defender-slug"
"Alessandro Bastoni","alessandro-bastoni","defender","","","22","","https://www.futbin.com/27/player/461/alessandro-bastoni","https://www.futbin.com/26/player/216/alessandro-bastoni","defender-slug"
"Pau Cubarsí Paredes","pau-cubarsi-paredes","defender","","","23","","https://www.futbin.com/27/player/549/pau-cubarsi-paredes","","unmatched"
"Marc Cucurella Saseta","marc-cucurella-saseta","defender","","","24","","https://www.futbin.com/27/player/550/marc-cucurella-saseta","https://www.futbin.com/26/player/384/marc-cucurella-saseta","defender-slug"
"Maya Le Tissier","maya-le-tissier","defender","","","27","","https://www.futbin.com/27/player/139/maya-le-tissier","https://www.futbin.com/26/player/17328/maya-le-tissier","defender-slug"
"Joško Gvardiol","josko-gvardiol","defender","","","35","","https://www.futbin.com/27/player/438/josko-gvardiol","https://www.futbin.com/26/player/377/josko-gvardiol","defender-slug"
"Marc Guéhi","marc-guehi","defender","","","36","","https://www.futbin.com/27/player/439/marc-guehi","https://www.futbin.com/26/player/402/marc-guehi","defender-slug"
