releaseDate,evolutionId,name,inputOverallMax,inputPlaystylePlusMax,outputOverall,positions,rarity,playstylePlusAddCount,playstylePlusAdded,free,repeatable,dateConfidence,sourceUrl
2025-10-03,26,CAM Upgrade,82,,,CAM,Not Rarity: World Tour Silver Stars,0,,true,2,exact,https://www.futbin.com/26/evolutions/26/cam-upgrade
2025-10-04,27,Sprint Boost,83,,,,Not Rarity: World Tour Silver Stars,0,,,2,exact,https://www.futbin.com/26/evolutions/27/sprint-boost
2025-10-04,28,Cornerstones,,,,,Not Rarity: World Tour Silver Stars,0,,,2,exact,https://www.futbin.com/26/evolutions/28/cornerstones
2025-10-05,29,Sideline Rise,74,,83,RM,Not Rarity: World Tour Silver Stars,0,,true,true,exact,https://www.futbin.com/26/evolutions/29/sideline-rise
2025-10-07,30,Reflex Deflector,82,,,GK,Not Rarity: World Tour Silver Stars,0,,true,2,exact,https://www.futbin.com/26/evolutions/30/reflex-deflector
2025-10-10,31,Backline Glow,80,,84,CB,Not Rarity: World Tour Silver Stars,0,,,true,exact,https://www.futbin.com/26/evolutions/31/backline-glow
2025-10-10,32,Ball Distributor,82,,,,Not Rarity: World Tour Silver Stars,0,,true,2,exact,https://www.futbin.com/26/evolutions/32/ball-distributor
2025-10-10,33,GK Boost,83,,,GK,Not Rarity: World Tour Silver Stars,0,,true,true,inferred,https://www.futbin.com/26/evolutions/33/gk-boost
2025-10-10,34,Shadow Striker++,84,,,CAM,Not Rarity: World Tour Silver Stars,0,,true,true,inferred,https://www.futbin.com/26/evolutions/34/shadow-striker
2025-10-10,35,Finesse Shot,83,,,,Not Rarity: World Tour Silver Stars,0,,true,true,inferred,https://www.futbin.com/26/evolutions/35/finesse-shot
2025-10-10,36,Intercept,84,,,,Not Rarity: World Tour Silver Stars,0,,true,true,inferred,https://www.futbin.com/26/evolutions/36/intercept
2025-10-11,37,CDM Roles+,84,,,CDM,Not Rarity: World Tour Silver Stars,0,,true,true,inferred,https://www.futbin.com/26/evolutions/37/cdm-roles
2025-10-11,38,Gamechanger+,85,,,,Not Rarity: World Tour Silver Stars,1,Gamechanger,true,true,inferred,https://www.futbin.com/26/evolutions/38/gamechanger
2025-10-11,39,Inventive+,84,,,,Not Rarity: World Tour Silver Stars,1,Inventive,true,true,inferred,https://www.futbin.com/26/evolutions/39/inventive
2025-10-11,40,Aerial Fortress,83,,,,Not Rarity: World Tour Silver Stars,0,,true,true,inferred,https://www.futbin.com/26/evolutions/40/aerial-fortress
2025-10-11,41,Striker Debut,82,,,,Not Rarity: World Tour Silver Stars,0,,true,2,exact,https://www.futbin.com/26/evolutions/41/striker-debut
2025-10-12,42,Silver Warm-Up,74,,,,Not Rarity: World Tour Silver Stars,0,,true,true,inferred,https://www.futbin.com/26/evolutions/42/silver-warm-up
2025-10-12,43,Midfield Spark,80,,84,CAM or CDM or CM,Not Rarity: World Tour Silver Stars,0,,,true,exact,https://www.futbin.com/26/evolutions/43/midfield-spark
2025-10-14,44,Fullback Force,82,,,LB,Not Rarity: World Tour Silver Stars,0,,true,2,exact,https://www.futbin.com/26/evolutions/44/fullback-force
2025-10-14,45,CM Box-to-Box++,83,,,CM,Not Rarity: World Tour Silver Stars,0,,true,true,inferred,https://www.futbin.com/26/evolutions/45/cm-box-to-box
2025-10-15,46,Tiki Taka+,83,,,,Not Rarity: World Tour Silver Stars,1,Tiki Taka,true,true,inferred,https://www.futbin.com/26/evolutions/46/tiki-taka
2025-10-15,47,Right-Wing Dynamo,82,,,RW,Not Rarity: World Tour Silver Stars,0,,true,2,exact,https://www.futbin.com/26/evolutions/47/right-wing-dynamo
2025-10-17,48,Born to Shine,80,,84,ST,Not Rarity: World Tour Silver Stars,0,,,true,exact,https://www.futbin.com/26/evolutions/48/born-to-shine
2025-10-17,49,Fullback Force II,82,,,RB,Not Rarity: World Tour Silver Stars,0,,true,2,exact,https://www.futbin.com/26/evolutions/49/fullback-force-ii
