releaseDate,evolutionId,name,category,inputOverallMax,inputPlaystylePlusMax,outputOverall,positions,rarity,playstylePlusAddCount,playstylePlusAdded,free,repeatable,dateConfidence,sourceUrl
2025-10-11,40,Aerial Fortress,REWARDS,83,,,,Not Rarity: World Tour Silver Stars,0,,true,true,inferred,https://www.futbin.com/26/evolutions/40/aerial-fortress
2025-10-11,41,Striker Debut,EVOLUTIONS,82,,,,Not Rarity: World Tour Silver Stars,0,,true,2,exact,https://www.futbin.com/26/evolutions/41/striker-debut
2025-10-12,42,Silver Warm-Up,REWARDS,74,,,,Not Rarity: World Tour Silver Stars,0,,true,true,inferred,https://www.futbin.com/26/evolutions/42/silver-warm-up
2025-10-12,43,Midfield Spark,EVOLUTIONS,80,,84,CAM or CDM or CM,Not Rarity: World Tour Silver Stars,0,,,true,exact,https://www.futbin.com/26/evolutions/43/midfield-spark
2025-10-14,44,Fullback Force,EVOLUTIONS,82,,,LB,Not Rarity: World Tour Silver Stars,0,,true,2,exact,https://www.futbin.com/26/evolutions/44/fullback-force
2025-10-14,45,CM Box-to-Box++,REWARDS,83,,,CM,Not Rarity: World Tour Silver Stars,0,,true,true,inferred,https://www.futbin.com/26/evolutions/45/cm-box-to-box
2025-10-15,46,Tiki Taka+,REWARDS,83,,,,Not Rarity: World Tour Silver Stars,1,Tiki Taka,true,true,inferred,https://www.futbin.com/26/evolutions/46/tiki-taka
2025-10-15,47,Right-Wing Dynamo,EVOLUTIONS,82,,,RW,Not Rarity: World Tour Silver Stars,0,,true,2,exact,https://www.futbin.com/26/evolutions/47/right-wing-dynamo
2025-10-17,48,Born to Shine,EVOLUTIONS,80,,84,ST,Not Rarity: World Tour Silver Stars,0,,,true,exact,https://www.futbin.com/26/evolutions/48/born-to-shine
2025-10-17,49,Fullback Force II,EVOLUTIONS,82,,,RB,Not Rarity: World Tour Silver Stars,0,,true,2,exact,https://www.futbin.com/26/evolutions/49/fullback-force-ii
2025-10-18,50,Left-Wing Dynamo,EVOLUTIONS,82,,,LW,Not Rarity: World Tour Silver Stars,0,,true,2,exact,https://www.futbin.com/26/evolutions/50/left-wing-dynamo
2025-10-18,51,Ratings Reload,COSMETICS,,,,,Not Rarity: World Tour Silver Stars,0,,,2,exact,https://www.futbin.com/26/evolutions/51/ratings-reload
2025-10-19,52,Keeper of the Goal,EVOLUTIONS,80,,84,GK,Not Rarity: World Tour Silver Stars,0,,,true,exact,https://www.futbin.com/26/evolutions/52/keeper-of-the-goal
2025-10-21,53,Ice Veins,EVOLUTIONS,83,,,,Not Rarity: World Tour Silver Stars,0,,,5,exact,https://www.futbin.com/26/evolutions/53/ice-veins
2025-10-22,54,Iron Lungs,EVOLUTIONS,82,,,,Not Rarity: World Tour Silver Stars,0,,true,5,exact,https://www.futbin.com/26/evolutions/54/iron-lungs
2025-10-24,55,The Big Fella,EVOLUTIONS,84,,85,CDM,Not Rarity: World Tour Silver Stars,0,,,true,exact,https://www.futbin.com/26/evolutions/55/the-big-fella
2025-10-25,56,Inverted Instinct,EVOLUTIONS,81,,83,LW,Not Rarity: World Tour Silver Stars,0,,true,2,inferred,https://www.futbin.com/26/evolutions/56/inverted-instinct
2025-10-25,57,Phantom Fullback,EVOLUTIONS,82,,84,CB,Not Rarity: World Tour Silver Stars,0,,,true,exact,https://www.futbin.com/26/evolutions/57/phantom-fullback
2025-10-26,58,Rise from the Grave,EVOLUTIONS,82,,84,LB,Not Rarity: World Tour Silver Stars,0,,,true,exact,https://www.futbin.com/26/evolutions/58/rise-from-the-grave
2025-10-28,59,Ghostly Guardian,EVOLUTIONS,74,,83,CB,Not Rarity: World Tour Silver Stars,0,,true,2,exact,https://www.futbin.com/26/evolutions/59/ghostly-guardian
2025-10-28,60,Jockey+,REWARDS,84,,,,,1,Jockey,true,true,inferred,https://www.futbin.com/26/evolutions/60/jockey
2025-10-29,61,RM Inside Forward++,REWARDS,84,,,RM,,0,,true,true,inferred,https://www.futbin.com/26/evolutions/61/rm-inside-forward
2025-10-29,62,Spooky Striker,EVOLUTIONS,79,,84,ST,Not Rarity: World Tour Silver Stars,0,,,true,exact,https://www.futbin.com/26/evolutions/62/spooky-striker
2025-10-30,63,Phantom Dash,EVOLUTIONS,82,,84,GK,Not Rarity: World Tour Silver Stars,0,,true,true,exact,https://www.futbin.com/26/evolutions/63/phantom-dash
2025-10-31,64,EVO Flash: Fast like Adama,EVOLUTIONS,83,,85,RM,Not Rarity: World Tour Silver Stars,0,,true,true,exact,https://www.futbin.com/26/evolutions/64/evo-flash-fast-like-adama
2025-11-01,65,The Undead Lion,EVOLUTIONS,84,,86,ST,Not Rarity: World Tour Silver Stars,0,,,true,inferred,https://www.futbin.com/26/evolutions/65/the-undead-lion
2025-11-01,66,The Portuguese Backline Titan,EVOLUTIONS,81,,85,CB,Not Rarity: World Tour Silver Stars,0,,,true,exact,https://www.futbin.com/26/evolutions/66/the-portuguese-backline-titan
2025-11-01,67,World Tour,COSMETICS,,,,,Not Rarity: World Tour Silver Stars,0,,,2,exact,https://www.futbin.com/26/evolutions/67/world-tour
2025-11-02,68,Star in Motion,REWARDS,85,,86,CAM,Not Rarity: World Tour Silver Stars,1,Technical,true,true,inferred,https://www.futbin.com/26/evolutions/68/star-in-motion
2025-11-02,69,Curse of the Left,EVOLUTIONS,80,,85,LM,Not Rarity: World Tour Silver Stars,0,,,true,exact,https://www.futbin.com/26/evolutions/69/curse-of-the-left
2025-11-04,70,The ScreaMOR,EVOLUTIONS,64,,74,ST,Not Rarity: World Tour Silver Stars,0,,true,true,exact,https://www.futbin.com/26/evolutions/70/the-screamor
2025-11-04,71,Power Shot+,REWARDS,84,,,,,1,Power Shot,true,true,inferred,https://www.futbin.com/26/evolutions/71/power-shot
2025-11-04,72,CDM Box Crasher++,REWARDS,86,,,CDM,,0,,true,true,inferred,https://www.futbin.com/26/evolutions/72/cdm-box-crasher
2025-11-04,73,CM Roles+ - Season 2 Lvl 8,REWARDS,,,,CM,,0,,true,true,inferred,https://www.futbin.com/26/evolutions/73/cm-roles-season-2-lvl-8
2025-11-04,74,Trickster - Season 2 (P) Lvl 10,REWARDS,85,,,,,0,,true,true,inferred,https://www.futbin.com/26/evolutions/74/trickster-season-2-p-lvl-10
2025-11-04,75,Relentless - Season 2 Lvl 20,REWARDS,84,,,,,0,,true,true,inferred,https://www.futbin.com/26/evolutions/75/relentless-season-2-lvl-20
2025-11-04,76,Jockey - Season 2 Lvl 20,REWARDS,84,,,,,0,,true,true,inferred,https://www.futbin.com/26/evolutions/76/jockey-season-2-lvl-20
2025-11-04,77,CB Roles+ - Season 2 (P) Lvl 20,REWARDS,,,,CB,,0,,true,true,inferred,https://www.futbin.com/26/evolutions/77/cb-roles-season-2-p-lvl-20
2025-11-05,78,LW Roles+ - Season 2 (P) Lvl 23,REWARDS,,,,LW,,0,,true,true,inferred,https://www.futbin.com/26/evolutions/78/lw-roles-season-2-p-lvl-23
2025-11-05,79,RW Roles+ - Season 2 (P) Lvl 23,REWARDS,,,,RW,,0,,true,true,inferred,https://www.futbin.com/26/evolutions/79/rw-roles-season-2-p-lvl-23
2025-11-05,80,RB Roles+ - Season 2 (B/P) Lvl 26,REWARDS,,,,RB,,0,,true,true,inferred,https://www.futbin.com/26/evolutions/80/rb-roles-season-2-bp-lvl-26
2025-11-05,81,LB Roles+ - Season 2 (B/P) Lvl 26,REWARDS,,,,LB,,0,,true,true,inferred,https://www.futbin.com/26/evolutions/81/lb-roles-season-2-bp-lvl-26
2025-11-05,82,Sweeper Keeper++ - Season 2 (P) Lvl 33,REWARDS,,,,GK,,0,,true,true,inferred,https://www.futbin.com/26/evolutions/82/sweeper-keeper-season-2-p-lvl-33
2025-11-05,83,Intercept+ - Season 2 Lvl 35,REWARDS,85,,,,,1,Intercept,true,true,inferred,https://www.futbin.com/26/evolutions/83/intercept-season-2-lvl-35
2025-11-05,84,Finesse Shot+ - Season 2 (P) Lvl 35,REWARDS,86,,,,,1,Finesse Shot,true,true,inferred,https://www.futbin.com/26/evolutions/84/finesse-shot-season-2-p-lvl-35
2025-11-05,85,Spell of the Dribbler,EVOLUTIONS,80,,85,CM,Not Rarity: World Tour Silver Stars,0,,,true,exact,https://www.futbin.com/26/evolutions/85/spell-of-the-dribbler
2025-11-06,86,Saved by the Bell,EVOLUTIONS,79,,84,RB,Not Rarity: World Tour Silver Stars,0,,true,true,exact,https://www.futbin.com/26/evolutions/86/saved-by-the-bell
2025-11-07,87,El Capitán,EVOLUTIONS,84,,86,ST,Not Rarity: World Tour Silver Stars,1,Finesse Shot,,true,exact,https://www.futbin.com/26/evolutions/87/el-capitan
2025-11-08,88,Dynamic Distributor,EVOLUTIONS,84,,,,,0,,true,2,inferred,https://www.futbin.com/26/evolutions/88/dynamic-distributor
2025-11-08,89,Defensive Shift,EVOLUTIONS,74,,84,LM,Not Rarity: World Tour Silver Stars,0,,,2,exact,https://www.futbin.com/26/evolutions/89/defensive-shift
2025-11-08,90,Cornerstones,COSMETICS,,,,,Not Rarity: World Tour Silver Stars,0,,,2,exact,https://www.futbin.com/26/evolutions/90/cornerstones
2025-11-08,91,Incisive Pass,REWARDS,84,,,,,0,,true,true,inferred,https://www.futbin.com/26/evolutions/91/incisive-pass
2025-11-09,92,CDM Holding++,REWARDS,86,,,CDM,,0,,true,true,inferred,https://www.futbin.com/26/evolutions/92/cdm-holding
2025-11-09,93,The Big Fella,REWARDS,84,,85,CDM,Not Rarity: World Tour Silver Stars,0,,true,true,inferred,https://www.futbin.com/26/evolutions/93/the-big-fella
2025-11-09,94,Wing Wizards,EVOLUTIONS,79,,86,RW,Not Rarity: World Tour Silver Stars,0,,,true,exact,https://www.futbin.com/26/evolutions/94/wing-wizards
2025-11-11,95,Ironclad Instincts,EVOLUTIONS,79,,,,,0,,true,3,exact,https://www.futbin.com/26/evolutions/95/ironclad-instincts
2025-11-12,96,Footwork Mastery,EVOLUTIONS,84,,,,,0,,true,2,exact,https://www.futbin.com/26/evolutions/96/footwork-mastery
2025-11-12,97,Defender++,REWARDS,86,,,CB,,0,,true,true,inferred,https://www.futbin.com/26/evolutions/97/defender
2025-11-13,98,Long Ball Pass+,REWARDS,84,,,,,1,Long Ball Pass,true,true,inferred,https://www.futbin.com/26/evolutions/98/long-ball-pass
2025-11-13,99,Poacher++,REWARDS,86,,,ST,,0,,true,true,inferred,https://www.futbin.com/26/evolutions/99/poacher
2025-11-13,100,Press Proven,REWARDS,84,,,,,0,,true,true,inferred,https://www.futbin.com/26/evolutions/100/press-proven
2025-11-14,101,Cornerstones,REWARDS,,,,,Not Rarity: World Tour Silver Stars,0,,true,true,inferred,https://www.futbin.com/26/evolutions/101/cornerstones
2025-11-14,102,Silver Armour,EVOLUTIONS,74,,74,CDM,Not Rarity: World Tour Silver Stars,0,,,true,exact,https://www.futbin.com/26/evolutions/102/silver-armour
2025-11-14,103,I'll Protect You,EVOLUTIONS,84,,86,CB,Not Rarity: World Tour Silver Stars,1,Anticipate,,true,exact,https://www.futbin.com/26/evolutions/103/ill-protect-you
2025-11-14,104,Festival of Football: Captains,REWARDS,,,,,Not Rarity: World Tour Silver Stars,0,,true,true,inferred,https://www.futbin.com/26/evolutions/104/festival-of-football-captains
2025-11-15,105,Own the Ball,REWARDS,84,,,CM,,0,,true,true,inferred,https://www.futbin.com/26/evolutions/105/own-the-ball
2025-11-15,106,Dual Threat,EVOLUTIONS,83,,84,RM,Not Rarity: World Tour Silver Stars,0,,true,2,exact,https://www.futbin.com/26/evolutions/106/dual-threat
2025-11-15,107,FOF Captains,COSMETICS,,,,,Not Rarity: World Tour Silver Stars,0,,,2,exact,https://www.futbin.com/26/evolutions/107/fof-captains
2025-11-16,108,Protect the Wings,EVOLUTIONS,84,,86,LB or RB,Not Rarity: World Tour Silver Stars,1,Slide Tackle,,true,exact,https://www.futbin.com/26/evolutions/108/protect-the-wings
2025-11-17,109,Sideline Flyer,REWARDS,84,,,RB,,0,,true,true,inferred,https://www.futbin.com/26/evolutions/109/sideline-flyer
2025-11-17,110,Iron Guard,REWARDS,84,,,LB,,0,,true,true,inferred,https://www.futbin.com/26/evolutions/110/iron-guard
2025-11-18,111,Captain's Grit,EVOLUTIONS,83,,,,,0,,true,2,exact,https://www.futbin.com/26/evolutions/111/captains-grit
2025-11-19,112,PlayStyles Trifecta,EVOLUTIONS,83,,,,,0,,true,3,exact,https://www.futbin.com/26/evolutions/112/playstyles-trifecta
2025-11-20,113,Flying Postman,REWARDS,84,,,GK,,0,,true,true,inferred,https://www.futbin.com/26/evolutions/113/flying-postman
2025-11-20,114,Welcome to UT EVO,EVOLUTIONS,83,,84,LM or RM,Not Rarity: World Tour Silver Stars,0,,true,true,exact,https://www.futbin.com/26/evolutions/114/welcome-to-ut-evo
2025-11-21,115,Estrella de Montcada,EVOLUTIONS,84,,86,LW,Not Rarity: World Tour Silver Stars,1,Low Driven Shot,,true,exact,https://www.futbin.com/26/evolutions/115/estrella-de-montcada
2025-11-22,116,Tighten Up,EVOLUTIONS,83,,,,,0,,true,2,inferred,https://www.futbin.com/26/evolutions/116/tighten-up
2025-11-22,117,Competitive Catalyst,EVOLUTIONS,84,,86,CAM,Not Rarity: World Tour Silver Stars,1,Long Ball Pass,,true,exact,https://www.futbin.com/26/evolutions/117/competitive-catalyst
2025-11-23,118,How many tricks left?,EVOLUTIONS,74,,74,LW,Not Rarity: World Tour Silver Stars,0,,true,true,exact,https://www.futbin.com/26/evolutions/118/how-many-tricks-left
2025-11-23,119,Finesse Shot,REWARDS,84,,,,,0,,true,true,inferred,https://www.futbin.com/26/evolutions/119/finesse-shot
2025-11-24,120,RW Inside Forward++,REWARDS,86,,,RW,,0,,true,true,inferred,https://www.futbin.com/26/evolutions/120/rw-inside-forward
2025-11-24,121,World Tour,REWARDS,,,,,Not Rarity: World Tour Silver Stars,0,,true,true,inferred,https://www.futbin.com/26/evolutions/121/world-tour
2025-11-24,122,Cornerstones,REWARDS,,,,,Not Rarity: World Tour Silver Stars,0,,true,true,inferred,https://www.futbin.com/26/evolutions/122/cornerstones
2025-11-24,123,Positional Excellence,REWARDS,,,,,Not Rarity: World Tour Silver Stars,0,,true,true,inferred,https://www.futbin.com/26/evolutions/123/positional-excellence
2025-11-25,124,Bruiser+,REWARDS,84,,,,,1,Bruiser,true,true,inferred,https://www.futbin.com/26/evolutions/124/bruiser
2025-11-25,125,CM Deep-Lying Playmaker++,REWARDS,86,,,CM,,0,,true,true,inferred,https://www.futbin.com/26/evolutions/125/cm-deep-lying-playmaker
2025-11-25,126,No Panna,EVOLUTIONS,83,,,GK,Not Rarity: World Tour Silver Stars,1,Footwork,true,true,exact,https://www.futbin.com/26/evolutions/126/no-panna
2025-11-26,127,The Perfect Curl,EVOLUTIONS,84,,,,,1,Finesse Shot,true,2,exact,https://www.futbin.com/26/evolutions/127/the-perfect-curl
2025-11-26,128,Block+,REWARDS,85,,,,,1,Block,true,true,inferred,https://www.futbin.com/26/evolutions/128/block
2025-11-26,129,Ping Pro,REWARDS,85,,,CAM,,0,,true,true,inferred,https://www.futbin.com/26/evolutions/129/ping-pro
2025-11-26,130,Overlapping Dynamo,REWARDS,85,,,LB,,0,,true,true,inferred,https://www.futbin.com/26/evolutions/130/overlapping-dynamo
2025-11-26,131,Clinical Pivot,REWARDS,85,,,ST,,0,,true,true,inferred,https://www.futbin.com/26/evolutions/131/clinical-pivot
2025-11-26,132,Inverted Finisher,REWARDS,85,,,RW,,0,,true,true,inferred,https://www.futbin.com/26/evolutions/132/inverted-finisher
2025-11-26,133,CAM Classic 10++,REWARDS,87,,,CAM,,0,,true,true,inferred,https://www.futbin.com/26/evolutions/133/cam-classic-10
2025-11-26,134,Touchline Maestro,REWARDS,85,,,RM,,0,,true,true,inferred,https://www.futbin.com/26/evolutions/134/touchline-maestro
2025-11-26,135,Il Catenaccio - Season 3 Lvl 7,REWARDS,85,,,,,0,,true,true,inferred,https://www.futbin.com/26/evolutions/135/il-catenaccio-season-3-lvl-7
2025-11-26,136,Intercept - Season 3 Lvl 7,REWARDS,85,,,,,0,,true,true,inferred,https://www.futbin.com/26/evolutions/136/intercept-season-3-lvl-7
2025-11-26,137,Il Divin Codino - Season 3 (P) Lvl 9,REWARDS,86,,,,,0,,true,true,inferred,https://www.futbin.com/26/evolutions/137/il-divin-codino-season-3-p-lvl-9
2025-11-26,138,First Touch - Season 3 (P) Lvl 9,REWARDS,86,,,,,0,,true,true,inferred,https://www.futbin.com/26/evolutions/138/first-touch-season-3-p-lvl-9
2025-11-27,140,Enforcer - Season 3 Lvl 20,REWARDS,85,,,,,0,,true,true,inferred,https://www.futbin.com/26/evolutions/140/enforcer-season-3-lvl-20
2025-11-27,141,Aerial Fortress - Season 3 Lvl 20,REWARDS,85,,,,,0,,true,true,inferred,https://www.futbin.com/26/evolutions/141/aerial-fortress-season-3-lvl-20
2025-11-27,142,CAM Roles Upgrade - Season 3 (P) Lvl 20,REWARDS,,,,CAM,,0,,true,true,inferred,https://www.futbin.com/26/evolutions/142/cam-roles-upgrade-season-3-p-lvl-20
2025-11-27,143,Incisive Pass - Season 3 (P) Lvl 23,REWARDS,86,,,,,0,,true,true,inferred,https://www.futbin.com/26/evolutions/143/incisive-pass-season-3-p-lvl-23
2025-11-27,144,Trickster - Season 3 (P) Lvl 23,REWARDS,86,,,,,0,,true,true,inferred,https://www.futbin.com/26/evolutions/144/trickster-season-3-p-lvl-23
2025-11-27,145,LB Roles Upgrade - Season 3 Lvl 26,REWARDS,,,,LB,,0,,true,true,inferred,https://www.futbin.com/26/evolutions/145/lb-roles-upgrade-season-3-lvl-26
2025-11-27,146,Relentless - Season 3 Lvl 26,REWARDS,85,,,,,0,,true,true,inferred,https://www.futbin.com/26/evolutions/146/relentless-season-3-lvl-26
2025-11-27,147,CDM Roles Upgrade - Season 3 (P) Lvl 26,REWARDS,,,,CDM,,0,,true,true,inferred,https://www.futbin.com/26/evolutions/147/cdm-roles-upgrade-season-3-p-lvl-26
2025-11-27,148,CM Roles Upgrade - Season 3 (P) Lvl 26,REWARDS,,,,CM,,0,,true,true,inferred,https://www.futbin.com/26/evolutions/148/cm-roles-upgrade-season-3-p-lvl-26
2025-11-27,149,Jockey+ - Season 3 lvl 35,REWARDS,86,,,,,1,Jockey,true,true,inferred,https://www.futbin.com/26/evolutions/149/jockey-season-3-lvl-35
2025-11-27,150,Low Driven Shot+ - Season 3 (P) lvl 35,REWARDS,87,,,,,1,Low Driven Shot,true,true,inferred,https://www.futbin.com/26/evolutions/150/low-driven-shot-season-3-p-lvl-35
2025-11-27,151,Perfectionist - Season 3 (P) lvl 33,REWARDS,86,,87,,Not Rarity: World Tour Silver Stars,0,,true,true,inferred,https://www.futbin.com/26/evolutions/151/perfectionist-season-3-p-lvl-33
2025-11-27,152,Speed Surge,FLASH,85,,,,Not Rarity: World Tour Silver Stars,0,,true,true,exact,https://www.futbin.com/26/evolutions/152/speed-surge
2025-11-27,153,Hit the Weights,FLASH,85,,,,Not Rarity: World Tour Silver Stars,0,,true,true,exact,https://www.futbin.com/26/evolutions/153/hit-the-weights
2025-11-27,154,Locked In,FLASH,85,,,,Not Rarity: World Tour Silver Stars,0,,true,true,exact,https://www.futbin.com/26/evolutions/154/locked-in
2025-11-28,155,Target Practice,FLASH,85,,,,Not Rarity: World Tour Silver Stars,0,,true,true,exact,https://www.futbin.com/26/evolutions/155/target-practice
2025-11-28,156,Ball Movement,FLASH,85,,,,Not Rarity: World Tour Silver Stars,0,,true,true,exact,https://www.futbin.com/26/evolutions/156/ball-movement
2025-11-28,157,Elite Control,FLASH,85,,,,Not Rarity: World Tour Silver Stars,0,,true,true,exact,https://www.futbin.com/26/evolutions/157/elite-control
2025-11-28,158,Song of Touré,EVOLUTIONS,85,,87,CDM,Not Rarity: World Tour Silver Stars,1,Incisive Pass,,true,exact,https://www.futbin.com/26/evolutions/158/song-of-toure
2025-11-29,159,Intercept+,REWARDS,85,,,,,1,Intercept,true,true,inferred,https://www.futbin.com/26/evolutions/159/intercept
2025-11-29,160,WF + SM Upgrade,EVOLUTIONS,84,,,,,0,,true,3,exact,https://www.futbin.com/26/evolutions/160/wf--sm-upgrade
2025-11-29,161,Thunderstruck,COSMETICS,,,,,Not Rarity: World Tour Silver Stars,0,,,2,exact,https://www.futbin.com/26/evolutions/161/thunderstruck
2025-11-30,162,Magician of the Right,EVOLUTIONS,85,,87,RW,Not Rarity: World Tour Silver Stars,1,Rapid,,true,exact,https://www.futbin.com/26/evolutions/162/magician-of-the-right
2025-12-01,163,Between the Sticks,EVOLUTIONS,84,,,GK,,1,Far Reach,true,4,exact,https://www.futbin.com/26/evolutions/163/between-the-sticks
2025-12-02,164,Bend it Like,REWARDS,85,,,,,1,Dead Ball,true,true,inferred,https://www.futbin.com/26/evolutions/164/bend-it-like
2025-12-03,165,Airborne,EVOLUTIONS,84,,,,,0,,true,2,exact,https://www.futbin.com/26/evolutions/165/airborne
2025-12-05,166,The Wizard,EVOLUTIONS,85,,87,LW,Not Rarity: World Tour Silver Stars,1,Quick Step,,true,exact,https://www.futbin.com/26/evolutions/166/the-wizard
2025-12-06,167,Tricks and Flicks,EVOLUTIONS,84,,,,,1,Trickster,true,true,inferred,https://www.futbin.com/26/evolutions/167/tricks-and-flicks
2025-12-06,168,Chance Creator,EVOLUTIONS,85,,,,,1,Long Ball Pass,,true,exact,https://www.futbin.com/26/evolutions/168/chance-creator
