resourceId,name,rating,position,alternatePositions,pace,shooting,passing,dribbling,defending,physical,skills,weakFoot,playstyleCount,playstyles,goldPlaystyleCount,goldPlaystyles,historicalFc26PopularCount,fc27PopularityScore,matchingFc26EvolutionCount,matchingFc26Evolutions,club,league,isBigClub,isTopLeague,prelaunchPriceSnapshot,launchPriceReference
247246,Khéphren Thuram,81,CM,CDM,79,74,78,79,81,85,3,4,3,Incisive Pass | Pinged Pass | Press Proven,0,,0,63,14,Intro to Evolutions | Intro to Training Camp EVOs II | Intro to Rewards EVOs | Rising Guard | Passing Prodigy | One Shot | Complete Connection | Relentless Pressure | Long Ball Pass | Footwork Phenom | Pinged Pass | Whipped Pass+ | Cornerstones | Iron Will,Juventus,Serie A Enilive,false,false,7000,7000
266039,Pubill,81,CB,RB,79,56,71,74,81,82,2,3,5,Block | Anticipate | Aerial Fortress | Relentless | Bruiser,0,,0,62,10,Intro to Evolutions | Intro to Rewards EVOs | Rising Guard | Passing Prodigy | One Shot | Footwork Phenom | Pinged Pass | Whipped Pass+ | Cornerstones | Iron Will,Atlético de Madrid,LALIGA EA SPORTS,false,false,3300,2000
258168,Jayden Oosterwolde,76,CB,LB,88,42,64,72,75,81,2,2,1,Anticipate,0,,0,62,12,Intro to Evolutions | Intro to Training Camp EVOs II | Rising Guard | Passing Prodigy | One Shot | Relentless Pressure | Long Ball Pass | Footwork Phenom | Pinged Pass | Whipped Pass+ | Cornerstones | Iron Will,Fenerbahçe,Trendyol Süper Lig,false,false,800,750
238616,Pedro Neto,81,RM,LM | RW | LW,91,76,77,82,40,70,4,4,3,Low Driven Shot | Rapid | Quick Step,0,,0,60,12,Intro to Evolutions | Intro to Training Camp EVOs II | Rising Guard | Passing Prodigy | One Shot | Relentless Pressure | Long Ball Pass | Footwork Phenom | Pinged Pass | Whipped Pass+ | Cornerstones | Iron Will,Chelsea,Premier League,false,true,7300,4000
268804,Mario Gila,81,CB,,85,53,68,75,81,79,2,4,2,Long Ball Pass | Slide Tackle,0,,0,54,12,Intro to Evolutions | Intro to Training Camp EVOs II | Rising Guard | Passing Prodigy | One Shot | Relentless Pressure | Long Ball Pass | Footwork Phenom | Pinged Pass | Whipped Pass+ | Cornerstones | Iron Will,Milano FC,Serie A Enilive,false,false,6000,2500
232756,Fikayo Tomori,80,CB,,85,40,63,68,80,80,2,4,1,Jockey,0,,0,51,12,Intro to Evolutions | Intro to Training Camp EVOs II | Rising Guard | Passing Prodigy | One Shot | Relentless Pressure | Long Ball Pass | Footwork Phenom | Pinged Pass | Whipped Pass+ | Cornerstones | Iron Will,Milano FC,Serie A Enilive,false,false,20000,9500
270673,Warren Zaïre-Emery,83,CM,RB | CDM | RM,79,71,78,81,79,85,3,4,6,Tiki Taka | Jockey | First Touch | Press Proven | Quick Step | Relentless,0,,0,50,4,Passing Prodigy | Footwork Phenom | Whipped Pass+ | Cornerstones,Paris SG,Ligue 1 McDonald's,true,false,9000,750
213345,Kingsley Coman,83,RM,LM | RW | LW,87,75,79,87,30,64,5,3,4,Acrobatic | Rapid | First Touch | Quick Step,0,,2,49,5,Passing Prodigy | Footwork Phenom | Pinged Pass | Whipped Pass+ | Cornerstones,Al Nassr,ROSHN Saudi League,false,false,1500,1500
277031,Abdukodir Khusanov,82,CB,,88,39,64,68,83,80,2,3,3,Jockey | Intercept | Bruiser,0,,0,49,11,Intro to Training Camp EVOs II | Rising Guard | Passing Prodigy | One Shot | Relentless Pressure | Long Ball Pass | Footwork Phenom | Pinged Pass | Whipped Pass+ | Cornerstones | Iron Will,Manchester City,Premier League,true,true,60000,2500
216388,Allan Saint-Maximin,76,LW,LM,89,69,69,83,29,67,5,4,4,Inventive | Technical | Trickster | Quick Step,0,,0,48,10,Intro to Evolutions | Rising Guard | Passing Prodigy | One Shot | Relentless Pressure | Footwork Phenom | Pinged Pass | Whipped Pass+ | Cornerstones | Iron Will,Charlotte FC,MLS,false,false,500,
247257,Ibañez,83,CB,RB,87,48,58,69,83,86,3,2,6,Precision Header | Long Ball Pass | Jockey | Block | Intercept | Aerial Fortress,0,,2,46,4,Passing Prodigy | Footwork Phenom | Whipped Pass+ | Cornerstones,Al Ahli,ROSHN Saudi League,false,false,20000,25000
272449,Pablo Barrios,83,CM,CDM,80,71,78,83,75,78,3,3,4,Pinged Pass | Tiki Taka | Press Proven | Relentless,0,,0,43,6,Passing Prodigy | Complete Connection | Footwork Phenom | Pinged Pass | Whipped Pass+ | Cornerstones,Atlético de Madrid,LALIGA EA SPORTS,false,false,750,750
260926,Kevin Schade,79,LM,ST | LW,92,75,71,78,30,73,3,4,6,Chip Shot | Precision Header | Aerial Fortress | Rapid | Quick Step | Long Throw,0,,0,43,10,Intro to Evolutions | Club Member Reward | Rising Guard | Passing Prodigy | One Shot | Footwork Phenom | ST Advanced Forward+ | Whipped Pass+ | Cornerstones | Iron Will,Brentford,Premier League,false,true,500,500
264968,Mathilde Bourdieu,81,ST,,83,82,69,79,36,76,3,4,6,Finesse Shot | Power Shot | Acrobatic | Low Driven Shot | First Touch | Press Proven,0,,0,40,11,Intro to Evolutions | Intro to Rewards EVOs | Club Member Reward | Rising Guard | Passing Prodigy | One Shot | Footwork Phenom | ST Advanced Forward+ | Whipped Pass+ | Cornerstones | Iron Will,Marseille,Arkema PL,false,false,500,750
270039,Diego Moreira,79,RM,LM | RB | LB,89,69,70,83,64,69,4,3,4,Gamechanger | Rapid | Quick Step | Relentless,0,,0,39,10,Intro to Evolutions | Rising Guard | Passing Prodigy | One Shot | Relentless Pressure | Footwork Phenom | Pinged Pass | Whipped Pass+ | Cornerstones | Iron Will,Milano FC,Serie A Enilive,false,false,500,750
253124,Matheus Nunes,83,RB,CM,87,70,80,79,78,75,3,3,1,Jockey,0,,0,38,6,Passing Prodigy | Complete Connection | Footwork Phenom | Pinged Pass | Whipped Pass+ | Cornerstones,Manchester City,Premier League,true,true,6400,750
215914,N'Golo Kanté,83,CDM,CM,74,65,73,80,83,79,2,3,3,Intercept | Press Proven | Relentless,0,,0,38,6,Passing Prodigy | Complete Connection | Footwork Phenom | Pinged Pass | Whipped Pass+ | Cornerstones,Fenerbahçe,Trendyol Süper Lig,false,false,2500,25000
278901,Ayyoub Bouaddi,80,CDM,CM,75,56,74,79,75,76,3,3,4,Jockey | Intercept | First Touch | Press Proven,0,,0,38,12,Intro to Evolutions | Intro to Rewards EVOs | Rising Guard | Passing Prodigy | One Shot | Complete Connection | Relentless Pressure | Footwork Phenom | Pinged Pass | Whipped Pass+ | Cornerstones | Iron Will,Manchester City,Premier League,true,true,500,500
243854,Mohamed Simakan,82,CB,RB,78,43,66,70,83,83,2,3,3,Jockey | Aerial Fortress | Bruiser,0,,1,37,12,Intro to Training Camp EVOs II | Intro to Rewards EVOs | Rising Guard | Passing Prodigy | One Shot | Relentless Pressure | Long Ball Pass | Footwork Phenom | Pinged Pass | Whipped Pass+ | Cornerstones | Iron Will,Al Nassr,ROSHN Saudi League,false,false,750,750
271400,Igor Paixão,79,LM,LW,87,78,75,80,32,70,4,3,4,Low Driven Shot | Gamechanger | Whipped Pass | Technical,0,,1,37,10,Intro to Evolutions | Rising Guard | Passing Prodigy | One Shot | Relentless Pressure | Footwork Phenom | Pinged Pass | Whipped Pass+ | Cornerstones | Iron Will,OM,Ligue 1 McDonald's,false,false,500,750
241721,Rafael Leão,83,LW,LM | ST | CAM,93,79,79,83,30,73,5,4,4,Incisive Pass | Rapid | Trickster | Quick Step,0,,0,36,7,Club Member Reward | Passing Prodigy | Footwork Phenom | Pinged Pass | ST Advanced Forward+ | Whipped Pass+ | Cornerstones,Galatasaray,Trendyol Süper Lig,false,false,15000,90000
258601,Mamadou Sangaré,81,CM,CDM,80,67,76,81,78,72,3,4,6,Long Ball Pass | Inventive | Intercept | Slide Tackle | Technical | Relentless,0,,0,35,9,Intro to Evolutions | Intro to Rewards EVOs | Rising Guard | Passing Prodigy | One Shot | Footwork Phenom | Whipped Pass+ | Cornerstones | Iron Will,Brentford,Premier League,false,true,4400,2000
216594,Nabil Fekir,79,CAM,ST | CM,73,77,79,81,39,74,4,4,5,Finesse Shot | Power Shot | Dead Ball | Technical | First Touch,0,,0,35,14,Intro to Evolutions | Intro to Rewards EVOs | Club Member Reward | Rising Guard | Cover Athlete | Passing Prodigy | One Shot | Complete Connection | Footwork Phenom | Pinged Pass | ST Advanced Forward+ | Whipped Pass+ | Cornerstones | Iron Will,Abha Club,ROSHN Saudi League,false,false,500,
210257,Ederson,82,GK,,80,81,90,81,64,83,1,3,1,Footwork,1,Pinged Pass,0,34,8,Intro to Training Camp EVOs I | Intro to Training Camp EVOs II | The Debut | Relentless Pressure | Long Ball Pass | Pinged Pass | Whipped Pass+ | Cornerstones,Fenerbahçe,Trendyol Süper Lig,false,false,2000,50000
266866,Éderson,82,CM,CDM,81,73,78,80,80,81,3,3,2,Precision Header | Long Ball Pass,0,,0,34,13,Intro to Training Camp EVOs II | Intro to Rewards EVOs | Rising Guard | Passing Prodigy | One Shot | Complete Connection | Relentless Pressure | Long Ball Pass | Footwork Phenom | Pinged Pass | Whipped Pass+ | Cornerstones | Iron Will,Bergamo Calcio,Serie A Enilive,false,false,1300,1500
256948,Christos Tzolis,82,LW,LM,82,80,79,83,38,71,4,4,3,Finesse Shot | Low Driven Shot | Incisive Pass,0,,1,33,12,Intro to Training Camp EVOs II | Intro to Rewards EVOs | Rising Guard | Passing Prodigy | One Shot | Relentless Pressure | Long Ball Pass | Footwork Phenom | Pinged Pass | Whipped Pass+ | Cornerstones | Iron Will,Arsenal,Premier League,false,true,750,750
73078,Kaishū Sano,81,CDM,CM,81,59,68,81,83,76,3,4,3,Anticipate | Aerial Fortress | Relentless,1,Intercept,1,33,14,Intro to Evolutions | Intro to Training Camp EVOs II | Intro to Rewards EVOs | Rising Guard | Passing Prodigy | One Shot | Complete Connection | Relentless Pressure | Long Ball Pass | Footwork Phenom | Pinged Pass | Whipped Pass+ | Cornerstones | Iron Will,1. FSV Mainz 05,Bundesliga,false,false,500,500
252042,João Pedro,83,ST,CAM,77,83,74,84,38,74,4,4,4,Chip Shot | Acrobatic | First Touch | Press Proven,0,,0,33,8,Club Member Reward | Cover Athlete | Passing Prodigy | Footwork Phenom | Pinged Pass | ST Advanced Forward+ | Whipped Pass+ | Cornerstones,Chelsea,Premier League,false,true,750,500
199254,João Pedro,75,ST,,62,77,70,74,38,68,4,4,3,Finesse Shot | Precision Header | Low Driven Shot,0,,0,33,15,Intro to Evolutions | Intro to Training Camp EVOs II | Intro to Rewards EVOs | Club Member Reward | Rising Guard | Passing Prodigy | One Shot | Relentless Pressure | Long Ball Pass | Footwork Phenom | Pinged Pass | ST Advanced Forward+ | Whipped Pass+ | Cornerstones | Iron Will,Atltico de SL,Liga BBVA MX,false,false,500,
76042,Víctor Muñoz,79,LM,LW | RW | RM,94,74,70,80,50,65,3,3,4,Whipped Pass | Rapid | Quick Step | Relentless,0,,0,32,10,Intro to Evolutions | Rising Guard | Passing Prodigy | One Shot | Relentless Pressure | Footwork Phenom | Pinged Pass | Whipped Pass+ | Cornerstones | Iron Will,Liverpool,Premier League,true,true,500,1000
71178,Saïd El Mala,78,LM,ST | LW | CAM,89,78,68,84,41,67,4,3,4,Finesse Shot | Low Driven Shot | Technical | Rapid,0,,0,32,12,Intro to Evolutions | Club Member Reward | Rising Guard | Passing Prodigy | One Shot | Relentless Pressure | Footwork Phenom | Pinged Pass | ST Advanced Forward+ | Whipped Pass+ | Cornerstones | Iron Will,1. FC Köln,Bundesliga,false,false,500,3000
231447,Donyell Malen,83,ST,,86,83,73,85,38,68,4,4,3,Chip Shot | Technical | Quick Step,0,,0,29,7,Club Member Reward | Passing Prodigy | Footwork Phenom | Pinged Pass | ST Advanced Forward+ | Whipped Pass+ | Cornerstones,AS Roma,Serie A Enilive,false,false,7500,750
232411,Christopher Nkunku,80,ST,CAM,75,83,79,82,41,56,4,3,1,Technical,0,,0,29,16,Intro to Evolutions | Intro to Training Camp EVOs II | Intro to Rewards EVOs | Club Member Reward | Rising Guard | Cover Athlete | Passing Prodigy | One Shot | Relentless Pressure | Long Ball Pass | Footwork Phenom | Pinged Pass | ST Advanced Forward+ | Whipped Pass+ | Cornerstones | Iron Will,RB Leipzig,Bundesliga,false,false,1500,40000
212811,Mario Lemina,78,CDM,CM | CB,73,67,74,74,78,84,3,4,4,Inventive | Intercept | Technical | Relentless,0,,0,29,12,Intro to Evolutions | Intro to Rewards EVOs | Rising Guard | Passing Prodigy | One Shot | Complete Connection | Relentless Pressure | Footwork Phenom | Pinged Pass | Whipped Pass+ | Cornerstones | Iron Will,Galatasaray,Trendyol Süper Lig,false,false,500,750
252293,Ismail Jakobs,75,LB,LM,89,58,64,74,71,75,3,3,2,Rapid | Long Throw,0,,0,29,12,Intro to Evolutions | Intro to Training Camp EVOs II | Rising Guard | Passing Prodigy | One Shot | Relentless Pressure | Long Ball Pass | Footwork Phenom | Pinged Pass | Whipped Pass+ | Cornerstones | Iron Will,Galatasaray,Trendyol Süper Lig,false,false,500,750
213666,Ruben Loftus-Cheek,79,CAM,CM,80,76,77,79,76,79,4,4,2,Press Proven | Enforcer,0,,1,28,15,Intro to Evolutions | Intro to Training Camp EVOs II | Intro to Rewards EVOs | Rising Guard | Cover Athlete | Passing Prodigy | One Shot | Complete Connection | Relentless Pressure | Long Ball Pass | Footwork Phenom | Pinged Pass | Whipped Pass+ | Cornerstones | Iron Will,Milano FC,Serie A Enilive,false,false,2600,4500
80170,Wesley,80,LB,RB | LM | RM,90,63,75,81,75,77,3,3,1,Quick Step,0,,0,28,12,Intro to Evolutions | Intro to Training Camp EVOs II | Rising Guard | Passing Prodigy | One Shot | Relentless Pressure | Long Ball Pass | Footwork Phenom | Pinged Pass | Whipped Pass+ | Cornerstones | Iron Will,AS Roma,Serie A Enilive,false,false,8000,3500
264309,Arda Güler,83,RM,CM | CAM | RW,77,79,85,84,55,57,4,3,6,Finesse Shot | Dead Ball | Incisive Pass | Tiki Taka | Inventive | Technical,0,,1,27,4,Passing Prodigy | Footwork Phenom | Whipped Pass+ | Cornerstones,Real Madrid,LALIGA EA SPORTS,true,false,1200,750
210514,João Cancelo,83,LB,RB | RM | LM,84,72,84,85,77,72,4,4,4,Whipped Pass | Inventive | Technical | First Touch,0,,0,27,5,Passing Prodigy | Footwork Phenom | Pinged Pass | Whipped Pass+ | Cornerstones,FC Barcelona,LALIGA EA SPORTS,true,false,1900,1500
258498,Bart Verbruggen,81,GK,,80,77,81,84,50,81,1,4,2,Long Ball Pass | Footwork,0,,0,27,8,Intro to Training Camp EVOs I | Intro to Training Camp EVOs II | The Debut | Relentless Pressure | Long Ball Pass | Pinged Pass | Whipped Pass+ | Cornerstones,Brighton,Premier League,false,true,750,750
227796,Christian Pulisic,83,CAM,RW | RM | ST,87,83,81,84,47,60,4,5,4,Low Driven Shot | Incisive Pass | Technical | Quick Step,0,,4,26,7,Club Member Reward | Passing Prodigy | Footwork Phenom | Pinged Pass | ST Advanced Forward+ | Whipped Pass+ | Cornerstones,Milano FC,Serie A Enilive,false,false,11000,20000
261050,Francisco Conceição,80,CAM,RM | ST | RW,88,72,76,86,44,55,4,2,1,Rapid,0,,0,26,14,Intro to Evolutions | Intro to Training Camp EVOs II | Club Member Reward | Rising Guard | Passing Prodigy | One Shot | Relentless Pressure | Long Ball Pass | Footwork Phenom | Pinged Pass | ST Advanced Forward+ | Whipped Pass+ | Cornerstones | Iron Will,Juventus,Serie A Enilive,false,false,500,500
253163,Ronald Araujo,80,CB,RB,79,54,64,59,78,81,2,3,4,Jockey | Slide Tackle | Aerial Fortress | Bruiser,0,,0,26,11,Intro to Evolutions | Intro to Rewards EVOs | Rising Guard | Passing Prodigy | One Shot | Relentless Pressure | Footwork Phenom | Pinged Pass | Whipped Pass+ | Cornerstones | Iron Will,Liverpool,Premier League,true,true,6200,20000
258575,Emmanuel Agbadou,77,CB,,80,50,63,65,76,81,2,3,4,Precision Header | Jockey | Block | Bruiser,0,,0,26,11,Intro to Evolutions | Intro to Rewards EVOs | Rising Guard | Passing Prodigy | One Shot | Relentless Pressure | Footwork Phenom | Pinged Pass | Whipped Pass+ | Cornerstones | Iron Will,Beşiktaş,Trendyol Süper Lig,false,false,500,750
248243,Eduardo Camavinga,81,CM,CDM | LB,79,67,80,82,78,80,4,3,5,Jockey | Block | Slide Tackle | Technical | Bruiser,0,,5,25,11,Intro to Evolutions | Intro to Rewards EVOs | Rising Guard | Passing Prodigy | One Shot | Complete Connection | Footwork Phenom | Pinged Pass | Whipped Pass+ | Cornerstones | Iron Will,Real Madrid,LALIGA EA SPORTS,true,false,8000,25000
243593,Armand Laurienté,80,LW,LM,91,75,74,82,36,51,4,3,4,Dead Ball | Low Driven Shot | Rapid | Quick Step,0,,1,25,10,Intro to Evolutions | Rising Guard | Passing Prodigy | One Shot | Relentless Pressure | Footwork Phenom | Pinged Pass | Whipped Pass+ | Cornerstones | Iron Will,Sassuolo,Serie A Enilive,false,false,1800,3000
270531,Ousmane Diomande,81,CB,,80,26,52,70,80,88,2,3,4,Jockey | Block | Aerial Fortress | Bruiser,0,,0,25,11,Intro to Evolutions | Intro to Rewards EVOs | Rising Guard | Passing Prodigy | One Shot | Relentless Pressure | Footwork Phenom | Pinged Pass | Whipped Pass+ | Cornerstones | Iron Will,Nott'm Forest,Premier League,false,true,5000,750
278339,Marco Palestra,78,RB,RM,90,65,69,80,70,81,3,4,1,Rapid,0,,0,25,12,Intro to Evolutions | Intro to Training Camp EVOs II | Rising Guard | Passing Prodigy | One Shot | Relentless Pressure | Long Ball Pass | Footwork Phenom | Pinged Pass | Whipped Pass+ | Cornerstones | Iron Will,Chelsea,Premier League,false,true,1400,
241736,Yann Aurel Bisseck,78,CB,,78,57,64,72,77,80,2,3,1,Precision Header,0,,0,25,13,Intro to Evolutions | Intro to Training Camp EVOs II | Intro to Rewards EVOs | Rising Guard | Passing Prodigy | One Shot | Relentless Pressure | Long Ball Pass | Footwork Phenom | Pinged Pass | Whipped Pass+ | Cornerstones | Iron Will,Lombardia FC,Serie A Enilive,false,false,500,750
236632,David Neres,81,LW,LM,86,76,75,85,46,53,5,3,3,Technical | Trickster | Quick Step,0,,2,24,12,Intro to Evolutions | Intro to Training Camp EVOs II | Rising Guard | Passing Prodigy | One Shot | Relentless Pressure | Long Ball Pass | Footwork Phenom | Pinged Pass | Whipped Pass+ | Cornerstones | Iron Will,SSC Napoli,Serie A Enilive,false,false,3000,3000
255654,Pierre Kalulu,81,CB,RB,79,53,68,72,83,79,2,3,2,Long Ball Pass | Jockey,0,,1,24,13,Intro to Evolutions | Intro to Training Camp EVOs II | Intro to Rewards EVOs | Rising Guard | Passing Prodigy | One Shot | Relentless Pressure | Long Ball Pass | Footwork Phenom | Pinged Pass | Whipped Pass+ | Cornerstones | Iron Will,Juventus,Serie A Enilive,false,false,750,1000
277909,Eli Junior Kroupi,80,ST,CAM,83,83,71,81,48,65,3,3,4,Finesse Shot | Power Shot | Low Driven Shot | Gamechanger,0,,0,24,14,Intro to Evolutions | Intro to Rewards EVOs | Club Member Reward | Rising Guard | Cover Athlete | Passing Prodigy | One Shot | Relentless Pressure | Footwork Phenom | Pinged Pass | ST Advanced Forward+ | Whipped Pass+ | Cornerstones | Iron Will,AFC Bournemouth,Premier League,false,true,750,5000
232905,Junya Ito,76,RM,RW | LW | LM,86,69,72,76,58,70,4,4,7,Dead Ball | Incisive Pass | Whipped Pass | Inventive | Rapid | Quick Step | Relentless,0,,0,24,8,Intro to Evolutions | Rising Guard | Passing Prodigy | One Shot | Footwork Phenom | Whipped Pass+ | Cornerstones | Iron Will,KRC Genk,1A Pro League,false,false,500,250
208418,Yannick Carrasco,82,LW,LM | ST,88,81,78,84,58,71,4,4,3,Gamechanger | Whipped Pass | Technical,0,,2,23,13,Intro to Training Camp EVOs II | Club Member Reward | Rising Guard | Passing Prodigy | One Shot | Relentless Pressure | Long Ball Pass | Footwork Phenom | Pinged Pass | ST Advanced Forward+ | Whipped Pass+ | Cornerstones | Iron Will,Al Shabab,ROSHN Saudi League,false,false,750,500
265861,Maëlle Garbino,82,RM,CAM | LM | RW,87,79,78,83,53,66,4,3,6,Gamechanger | Tiki Taka | Inventive | Technical | First Touch | Relentless,0,,1,23,7,Rising Guard | Passing Prodigy | One Shot | Footwork Phenom | Whipped Pass+ | Cornerstones | Iron Will,Marseille,Arkema PL,false,false,750,750
205452,Antonio Rüdiger,83,CB,,75,54,71,69,83,85,2,3,4,Long Ball Pass | Jockey | Block | Bruiser,0,,0,23,5,Passing Prodigy | Footwork Phenom | Pinged Pass | Whipped Pass+ | Cornerstones,Real Madrid,LALIGA EA SPORTS,true,false,12000,80000
263578,Balde,82,LB,LM,90,52,75,79,77,69,3,4,3,Anticipate | Rapid | Quick Step,0,,0,23,11,Intro to Training Camp EVOs II | Rising Guard | Passing Prodigy | One Shot | Relentless Pressure | Long Ball Pass | Footwork Phenom | Pinged Pass | Whipped Pass+ | Cornerstones | Iron Will,FC Barcelona,LALIGA EA SPORTS,true,false,10000,15000
240753,Amine Gouiri,80,ST,CAM,77,82,77,81,45,71,4,3,4,Finesse Shot | Low Driven Shot | Gamechanger | Technical,0,,0,23,14,Intro to Evolutions | Intro to Rewards EVOs | Club Member Reward | Rising Guard | Cover Athlete | Passing Prodigy | One Shot | Relentless Pressure | Footwork Phenom | Pinged Pass | ST Advanced Forward+ | Whipped Pass+ | Cornerstones | Iron Will,OM,Ligue 1 McDonald's,false,false,500,750
251626,Milan van Ewijk,75,RB,RM,92,58,67,73,68,72,3,3,5,Whipped Pass | Jockey | Intercept | Quick Step | Long Throw,0,,1,22,9,Intro to Evolutions | Rising Guard | Passing Prodigy | One Shot | Footwork Phenom | Pinged Pass | Whipped Pass+ | Cornerstones | Iron Will,Coventry City,Premier League,false,true,1400,8000
263205,Barış Alper Yılmaz,80,LM,RM | ST | LW,93,75,72,80,69,86,4,4,6,Precision Header | Low Driven Shot | Aerial Fortress | Rapid | Quick Step | Enforcer,0,,0,22,10,Intro to Evolutions | Club Member Reward | Rising Guard | Passing Prodigy | One Shot | Footwork Phenom | ST Advanced Forward+ | Whipped Pass+ | Cornerstones | Iron Will,Galatasaray,Trendyol Süper Lig,false,false,3400,4000
212616,Rodrigo De Paul,83,CM,CDM | RM | CAM,75,77,83,83,75,83,4,3,4,Finesse Shot | Incisive Pass | Long Ball Pass | Technical,0,,1,21,6,Passing Prodigy | Complete Connection | Footwork Phenom | Pinged Pass | Whipped Pass+ | Cornerstones,Inter Miami CF,MLS,false,false,1100,2000
251377,Rodrigo Zalazar,82,CAM,CM | RW,82,83,80,82,66,76,3,4,7,Finesse Shot | Power Shot | Gamechanger | Incisive Pass | Whipped Pass | Aerial Fortress | Technical,0,,0,21,8,Intro to Rewards EVOs | Rising Guard | Passing Prodigy | One Shot | Footwork Phenom | Whipped Pass+ | Cornerstones | Iron Will,Sporting CP,Liga Portugal,false,false,750,750
230965,Nahitan Nández,78,CM,RM | RB | CAM,82,69,75,79,74,83,3,2,3,Anticipate | Rapid | Relentless,0,,0,21,14,Intro to Evolutions | Intro to Training Camp EVOs II | Intro to Rewards EVOs | Rising Guard | Passing Prodigy | One Shot | Complete Connection | Relentless Pressure | Long Ball Pass | Footwork Phenom | Pinged Pass | Whipped Pass+ | Cornerstones | Iron Will,Al Qadsiah,ROSHN Saudi League,false,false,500,750
245637,Georginio Rutter,77,CAM,ST,75,75,75,79,61,71,5,5,2,Trickster | Enforcer,0,,0,21,16,Intro to Evolutions | Intro to Training Camp EVOs II | Intro to Rewards EVOs | Club Member Reward | Rising Guard | Cover Athlete | Passing Prodigy | One Shot | Relentless Pressure | Long Ball Pass | Footwork Phenom | Pinged Pass | ST Advanced Forward+ | Whipped Pass+ | Cornerstones | Iron Will,Brighton,Premier League,false,true,500,1000
